sigma,z,finite_noise_bulk_det2_real,finite_noise_bulk_det2_imag,trace_truncation_real,trace_truncation_imag,trace_product_error,deterministic_centered_det2_length_28_real,deterministic_centered_det2_length_28_imag,noise_to_deterministic_truncation_error
0.08,0.25,1.011640035129997,-1.6941692920836253e-21,1.0116400351299992,-1.7811173014199912e-20,2.220446049308805e-15,1.025602254045864,-0.0,0.01396221891586702
0.08,0.5,1.0459055015986236,2.2359022829475407e-19,1.045905501598622,7.940390155619459e-20,1.5543122411629671e-15,1.11062436476321,-0.0,0.0647188631645863
0.08,0.75,1.1012831904174254,4.3354933434870768e-19,1.101283190417429,5.581265806346778e-19,3.552713680984675e-15,1.3012577343323457,-0.0,0.1999745439149203
0.08,0.9,1.143708996768208,-5.459392042849967e-23,1.1437089967682113,1.1822933394616949e-18,3.3306692837351947e-15,1.5357354817306164,-0.0,0.39202648496240844
0.08,1.0,1.175431303979598,-8.396743485133208e-19,1.1754313039796023,1.8091628994107015e-18,4.218848325122372e-15,1.8217661079343055,-0.0,0.6463348039547074
0.08,1.1,1.2096349515337659,5.420679990091284e-20,1.2096349515337679,2.658865615887734e-18,1.9984031417431567e-15,2.3902335093584,-0.0,1.1805985578246343
0.06,0.25,1.017702786744652,1.0841835629414515e-19,1.017702786744653,-1.686572578793149e-19,1.1102230591996939e-15,1.025602254045864,-0.0,0.007899467301212049
0.06,0.5,1.0694817702961408,-5.7894562970890116e-24,1.0694817702961459,-9.451491099590626e-19,5.107026000733264e-15,1.11062436476321,-0.0,0.04114259446706914
0.06,0.75,1.1525388896537074,2.710340176884244e-20,1.1525388896537105,-2.8432947554540244e-18,3.1086257941641957e-15,1.3012577343323457,-0.0,0.14871884467863827
0.06,0.9,1.2157619100355905,1.7340882012667581e-18,1.2157619100355912,-4.8061576857167025e-18,6.661659207758089e-16,1.5357354817306164,-0.0,0.3199735716950258
0.06,1.0,1.2628226191247918,3.3087224502128145e-24,1.2628226191247935,-6.570228970226903e-18,1.7763689900570338e-15,1.8217661079343055,-0.0,0.5589434888095137
0.06,1.1,1.3133629605387185,4.0310792256205947e-28,1.3133629605387174,-8.76895777800723e-18,1.1102576543435088e-15,2.3902335093584,-0.0,1.0768705488196817
0.05,0.25,1.0200967015801659,-5.068962594956663e-21,1.0200967015801696,2.55378054921455e-19,3.774758292710564e-15,1.025602254045864,-0.0,0.005505552465698171
0.05,0.5,1.0788389234227416,-6.779572287862831e-21,1.078838923422743,1.1717444360038493e-18,1.3322681508112827e-15,1.11062436476321,-0.0,0.031785441340468346
0.05,0.75,1.1733208688708405,-1.124933068893947e-22,1.1733208688708432,2.850205168161046e-18,2.6645367836267295e-15,1.3012577343323457,-0.0,0.12793686546150518
0.05,0.9,1.2456112572353606,1.3234889800848428e-23,1.2456112572353635,4.088458167275178e-18,2.8865827593850316e-15,1.5357354817306164,-0.0,0.29012422449525577
