two_step_length,original_length,component_weighted_trace,component_centered,component_centered_times_lambda_power,lambda_inverse_power,critical_zero_deflated,deflated_times_lambda_squared_power
1,2,0.8147325332053104,-0.18526746679468964,-0.31098506210572396,0.595743941976561,0.41047647518187136,1.1565622230387442
2,4,0.7910151092089226,-0.2089848907910774,-0.5888377154080389,0.35491084440177206,0.14592595361069466,1.1584945658254115
3,6,0.8387046384008066,-0.16129536159919344,-0.762856716288073,0.21143598549414155,0.05014062389494811,1.1215843091123094
4,8,0.8912308808183276,-0.10876911918167242,-0.8635094058576644,0.12596170747397886,0.017192588292306438,1.0835879957449108
5,10,0.93089587030862,-0.06910412969138002,-0.9208859095937232,0.07504092414864662,0.005936794457266595,1.0542792656652502
6,12,0.9573614858187036,-0.04263851418129638,-0.9537713086658074,0.04470517596187884,0.002066661780582457,1.0340791718080418
7,14,0.974091325816619,-0.025908674183381053,-0.9728093724902477,0.026632837754285498,0.0007241635709044451,1.0209436846577513
8,16,0.9843885838517088,-0.015611416148291202,-0.9839323112527822,0.015866351749760223,0.0002549356014690217,1.0126895584210538
9,18,0.9906377430027781,-0.00936225699722193,-0.9904757464863584,0.009452282936188862,9.00259389669325e-05,1.0076140947048169
10,20,0.9944007133391748,-0.005599286660825209,-0.9943433062262316,0.005631140297082934,3.1853636257725415e-05,1.0045378867045294
11,22,0.9966565667041672,-0.003343433295832754,-0.9966362527277396,0.00335471771840725,1.1284422574496088e-05,1.0026915987010248
12,24,0.9980054478028958,-0.0019945521971042046,-0.9979982711675903,0.00199855275778255,4.000560678345429e-06,1.0015891872830835
13,26,0.9988107932429845,-0.001189206757015504,-0.9988082390996761,0.0011906256981695034,1.4189411539993445e-06,1.000953450069332
14,28,0.9992911951550014,-0.0007088048449985784,-0.9992905736093731,0.000709308046846095,5.032018475165708e-07,1.0001668439844038
