two_step_length,fixed_point_count,component_weighted_trace,perron_postcritical_model,postcritical_remainder,successive_remainder_ratio,remainder_nth_root,remainder_times_lambda_cubed_power,maximum_inverse_residual,maximum_iterations
1,2,8.14732533205310424564e-01,7.59166902425210768065e-01,5.55656307800996564997e-02,,0.055565630780099656,0.26280120032661003,2.439455e-19,54
2,4,7.91015109208919997791e-01,7.71050863072207354632e-01,1.99642461367126431587e-02,0.35929127153655316,0.14129489069571002,0.4465757198615425,5.421011e-20,29
3,8,8.38704638400794801306e-01,8.33269190467738270840e-01,5.43544793305653046534e-03,0.2722591124070134,0.17582411765052655,0.5750407567939585,2.710505e-20,21
4,16,8.91230880818314450753e-01,8.89904644275782381998e-01,1.32623654253206875496e-03,0.24399765371062665,0.19083377767938803,0.6635984651231366,0.000000e+00,17
5,32,9.30895870308587307027e-01,9.30590216148437186880e-01,3.05654160150120146177e-04,0.23046730379375693,0.19817372021147223,0.7233288538901226,6.098637e-20,14
6,64,9.57361485818632310389e-01,9.57293376795904370517e-01,6.81090227279398724089e-05,0.22283034752246966,0.2020850137016355,0.7623093084589092,0.000000e+00,12
7,128,9.74091325816480028022e-01,9.74076470292561075875e-01,1.48555239189521464012e-05,0.21811389040615425,0.20430063214314192,0.7863857638623493,0.000000e+00,11
8,256,9.84388583851501173454e-01,9.84385389368087230101e-01,3.19448341394335281682e-06,0.21503673861464725,0.20561276800801934,0.7997779070518464,0.000000e+00,10
9,512,9.90637743002381603627e-01,9.90637062716517132561e-01,6.80285864471065135350e-07,0.2129564553385183,0.2064160647414096,0.8055292373517974,0.000000e+00,9
10,1024,9.94400713335343565424e-01,9.94400569443962647966e-01,1.43891380917457890193e-07,0.21151605293068393,0.20692048041265465,0.8058342784305208,0.000000e+00,8
11,2048,9.96656566702002381572e-01,9.96656536412563044886e-01,3.02894393366861386374e-08,0.21050211029708185,0.2072435492125312,0.8022750515382459,0.000000e+00,8
12,4096,9.98005447809463161555e-01,9.98005441455343155193e-01,6.35412000636213433746e-09,0.2097800469573603,0.2074537474781421,0.7959917399636616,0.000000e+00,8
13,8192,9.98810793221056957122e-01,9.98810791891383680202e-01,1.32967327692032691311e-09,0.2092615933581639,0.20759225632321426,0.7878058194088715,0.000000e+00,8
14,16384,9.99291195348811007678e-01,9.99291195071059252543e-01,2.77751755135054873014e-10,0.20888722060983222,0.20768448694845146,0.7783091776547735,0.000000e+00,7
15,32768,9.99577612648040406064e-01,9.99577612590096840320e-01,5.79435657441229601261e-11,0.20861638017714165,0.20774648344868146,0.7679300329199964,6.098637e-20,6
16,65536,9.99748322267820863985e-01,9.99748322255743306552e-01,1.20775574328872703500e-11,0.2084365585338914,0.2077895461299203,0.7570361917465479,0.000000e+00,6
17,131072,9.99850049248588312748e-01,9.99850049246070665036e-01,2.51764771140236542912e-12,0.20845669543634657,0.2078287310351479,0.7463689895946102,0.000000e+00,6
18,262144,9.99910662330466051113e-01,9.99910662329939894683e-01,5.26156429623420018871e-13,0.2089873127365955,0.20789292785272992,0.7377251752144564,0.000000e+00,6
19,524288,9.99946775701899678130e-01,9.99946775701786111097e-01,1.13567033381556381499e-13,0.2158427170848001,0.20830394188175877,0.7531007832371173,0.000000e+00,6
20,1048576,9.99968291264491411583e-01,9.99968291264462247629e-01,2.91639542376875837704e-14,0.25679947225269245,0.2104952598574356,0.9146781861015858,0.000000e+00,5
