sigma,folded_dimension,requested_xi,actual_xi,observed_scaled_signed_density,critical_endpoint_profile,relative_difference
0.001,20480,0.125,0.1220703125,0.3484997956359504,0.32192306682930255,0.08255614941920264
0.001,20480,0.25,0.2685546874999778,0.3606402371578998,0.33312200068425696,0.08260708214143264
0.001,20480,0.5,0.5126953124999778,0.3689781592314316,0.34079170183700125,0.08270875506209308
0.001,20480,0.75,0.7568359374999778,0.3630154763676932,0.33524503004012884,0.08283626553461576
0.001,20480,1.0,1.0009765624999778,0.34520426784140734,0.31874935548466937,0.08299597129071001
0.001,20480,1.5,1.4892578124999778,0.28936401656734717,0.2670795474045945,0.08343757273556518
0.001,20480,2.0,1.9775390624999778,0.2310174721407088,0.21310310040066682,0.08406434118677852
0.001,20480,3.0,3.0029296875000444,0.15580148240560882,0.14349784022022685,0.08574095726109543
0.001,20480,4.0,3.9794921875000444,0.1274960310647266,0.11726269618862453,0.0872684596953246
0.001,20480,6.0,5.9814453125,0.10205827262979439,0.09362003833466516,0.09013277974705503
0.001,20480,8.0,7.983398437499956,0.08811895977534408,0.08062486825234252,0.09295012426620386
0.001,20480,10.0,9.985351562500021,0.0788180755011463,0.07192959044173747,0.09576705521475848
