sigma,folded_dimension,dimension_times_sigma,nonzeros,row_sum_error,perron_real,perron_imag,parity_real,parity_imag,parity_gap,gap_over_sqrt_sigma,gap_over_sigma_two_thirds,relative_error_to_square_root_constant,local_power_exponent,parity_efolding_lifetime,observed_bulk_radius,build_seconds,eigensolve_seconds
0.03,683,20.49,186179,4.440892098500626e-16,0.9999999999999989,0.0,-0.9719494268580446,0.0,0.02805057314195536,0.16195005954431213,0.2905321755910665,0.5385931231400107,,35.14752452946552,0.5571361640397624,0.033350467681884766,0.008587837219238281
0.02,1024,20.48,293023,4.440892098500626e-16,0.9999999999999998,0.0,-0.9790942594608413,0.0,0.020905740539158724,0.14782590900965645,0.28373455203727366,0.4044078011712373,0.725056905137486,47.33199100150203,0.6564262048863421,0.04933500289916992,0.020664215087890625
0.015,1366,20.49,401226,4.440892098500626e-16,0.9999999999999961,0.0,-0.9826814301130411,0.0,0.0173185698869589,0.14140553099259817,0.28474177443569415,0.3434115317484263,0.6543489377339291,57.24003242095254,0.6822616919160517,0.061009883880615234,0.02561330795288086
0.012,1707,20.484,509779,4.440892098500626e-16,0.9999999999999996,0.0,-0.9849225577587316,0.0,0.01507744224126839,0.13763758708373244,0.28765604791425253,0.30761449281636044,0.6210333810949925,65.82298076159972,0.6771277578019174,0.07495713233947754,0.030959129333496094
0.01,2048,20.48,618816,4.440892098500626e-16,1.0000000000000009,0.0,-0.9865534036028729,0.0,0.013446596397127086,0.13446596397127086,0.2896981374082834,0.27748275020536073,0.6278671568565085,73.8671335639415,0.674669351839727,0.09131741523742676,0.05029177665710449
0.008,2560,20.48,783189,4.440892098500626e-16,1.0000000000000042,0.0,-0.9883193806493902,0.0,0.011680619350609822,0.13059329443631507,0.2920154837652455,0.2406907741391433,0.6309616147603516,85.11091953660984,0.691470678209685,0.11381244659423828,0.06171107292175293
0.006,3414,20.484,1058590,4.440892098500626e-16,1.0000000000000013,0.0,-0.990180396168127,0.0,0.00981960383187297,0.1267705403573285,0.2973900722724959,0.2043730157268666,0.6032709043783107,101.33627995968583,0.7147649832739501,0.14126157760620117,0.09970331192016602
0.005,4096,20.48,1279288,4.440892098500626e-16,1.000000000000002,0.0,-0.9911540369859067,0.0,0.00884596301409335,0.12510080866781598,0.3025276795858264,0.18850986814790582,0.572722074411511,112.54517648112328,0.7199832390365282,0.1535179615020752,0.09769868850708008
0.004,5120,20.48,1611611,4.440892098500626e-16,1.0000000000000018,0.0,-0.992207793355341,0.0,0.007792206644658961,0.1232056049791032,0.30923392562213065,0.1705046425208956,0.5684103865357071,127.83270033978233,0.7179413580952652,0.18996787071228027,0.16072821617126465
0.003,6827,20.481,2167353,4.440892098500626e-16,1.000000000000001,0.0,-0.9933970927528963,0.0,0.006602907247103662,0.12055204147843378,0.3174346713304976,0.14529468233049392,0.5756842637171099,150.94788762476318,0.7202415450627129,0.23476314544677734,0.26554179191589355
0.002,10240,20.48,3282563,4.440892098500626e-16,1.0000000000000029,0.0,-0.9947388002485897,0.0,0.0052611997514102615,0.1176440028735834,0.331434815725173,0.1176671024960807,0.5602231835105644,189.57027569300234,0.7362778600305047,0.3469665050506592,0.5523271560668945
0.0015,13654,20.481,4401447,4.440892098500626e-16,1.0000000000000027,0.0,-0.9954969983380181,0.0,0.00450300166198192,0.1162670029653353,0.34364334244746847,0.10458502895219768,0.5409265813263864,221.57371471244528,0.7379047587149099,0.4501912593841553,0.6659102439880371
0.001,20480,20.48,6644373,4.440892098500626e-16,0.9999999999999936,0.0,-0.9963892766274232,0.0,0.0036107233725768406,0.11418109858147571,0.361072337257684,0.08476806717049579,0.5446487835820583,276.4525129466816,0.7391415382323588,0.6552455425262451,1.1906018257141113
0.0005,40960,20.48,13396183,4.440892098500626e-16,0.9999999999999977,0.0,-0.9974997589374887,0.0,0.0025002410625113436,0.1118141795182333,0.3968885292804594,0.062281348709380735,0.530220695638626,399.4612251026371,0.7480149959741854,1.2921497821807861,3.416302442550659
0.0002,102400,20.48,33720729,5.551115123125783e-16,0.9999999999999971,0.0,-0.998450950859941,0.0,0.0015490491400590445,0.10953431513269403,0.4529447162896031,0.04062168600130511,0.5224824948174691,645.0571834500262,0.7547488160014697,3.1945888996124268,8.843570232391357
0.0001,204800,20.48,67667810,5.551115123125783e-16,1.0000000000000018,0.0,-0.9989168379764579,0.0,0.0010831620235420836,0.10831620235420836,0.5027592753466354,0.02904910646993275,0.5161338481086011,922.7228239565521,0.757023078979615,6.382432222366333,17.847915410995483
