sigma,folded_dimension,effective_cloud_degree,positive_order,real,imag,radius,angle,expected_radius,expected_angle,radial_error,phase_error
0.01,2048,3,1,0.40442836621207356,0.4735771988848703,0.6227661412605916,0.8639926474875426,0.7718445063460382,0.7853981633974483,-0.14907836508544658,0.07859448409009429
0.01,2048,3,2,0.012822491430632367,0.5259303950190193,0.5260866817277836,1.5464205693956907,0.7718445063460382,1.5707963267948966,-0.24575782461825457,-0.024375757399205833
0.01,2048,3,3,-0.4217927925285849,0.5265639319995001,0.6746693518397261,2.2461641764348395,0.7718445063460382,2.356194490192345,-0.09717515450631209,-0.11003031375750538
0.01,2048,3,selected,-0.4217927925285849,0.5265639319995001,0.6746693518397261,2.2461641764348395,,,,
0.01,2048,3,selected,-0.4217927925285849,-0.5265639319995001,0.6746693518397261,-2.2461641764348395,,,,
0.01,2048,3,selected,0.40442836621207356,-0.4735771988848703,0.6227661412605916,-0.8639926474875426,,,,
0.01,2048,3,selected,0.40442836621207356,0.4735771988848703,0.6227661412605916,0.8639926474875426,,,,
0.01,2048,3,selected,0.012822491430632367,-0.5259303950190193,0.5260866817277836,-1.5464205693956907,,,,
0.01,2048,3,selected,0.012822491430632367,0.5259303950190193,0.5260866817277836,1.5464205693956907,,,,
0.01,2048,3,all,0.31105446575127355,-0.1225162522612529,0.3343128964487508,-0.375214172663715,,,,
0.01,2048,3,all,0.31105446575127355,0.1225162522612529,0.3343128964487508,0.375214172663715,,,,
0.01,2048,3,all,0.07318858017412545,0.23822880309637418,0.2492178382312057,1.2727291908284029,,,,
0.01,2048,3,all,0.07318858017412545,-0.23822880309637418,0.2492178382312057,-1.2727291908284029,,,,
0.01,2048,3,all,-0.20519323950694307,-0.1364734760047237,0.24643310490306614,-2.5546773000383096,,,,
0.01,2048,3,all,-0.20519323950694307,0.1364734760047237,0.24643310490306614,2.5546773000383096,,,,
0.01,2048,3,all,-0.05694131613607102,-0.12782260838817483,0.13993188592477657,-1.9898778891267141,,,,
