component_period,original_period,boundary_clearance,multiplier,absolute_multiplier_over_lambda_k,two_step_inverse_jacobian_radius,one_step_cycle_radius,limiting_two_step_radius,limiting_one_step_radius,balancing_condition_number,condition_over_lambda_k,eigenvalue_condition_number
1,2,0.098981566193425031988,-2.1747560507683054463,1.295597742522084771,0.45982168880354028314,0.67810153281314759401,0.59574394197655937353,0.77184450634603818079,1.0,0.5957439419765593,1.0
2,4,0.042771091036658049568,-4.4090017896012631259,1.5648025481162999927,0.4762443785709195424,0.69010461422230727062,0.59574394197655937353,0.77184450634603818079,1.8009866142904563,0.639189680034111,1.1781189130395768
3,6,0.017030195183769412808,-8.2492195442542633521,1.7441818638969193159,0.49491321003022090249,0.70350068232391992648,0.59574394197655937353,0.77184450634603818079,2.6505626180571693,0.560424319262845,1.4003072793680946
4,8,0.0064947325654715517876,-14.627911636050725447,1.8425567264554130483,0.51133370192344675274,0.71507601129072058443,0.59574394197655937353,0.77184450634603818079,4.064036961911086,0.5119130349596764,1.7092575020528786
5,10,0.0024124835598517865739,-25.217681675624259244,1.89235813782520998,0.52439551463666454813,0.72415158263768542849,0.59574394197655937353,0.77184450634603818079,6.415753474526731,0.48144406983836985,2.1791819293158645
6,12,0.00088098102890566030221,-42.88973450921210018,1.9173931281925630019,0.53449187411456452564,0.73108951169782522441,0.59574394197655937353,0.77184450634603818079,10.332520438739143,0.4619171443435355,2.904275743319283
7,14,0.00031821189929242616893,-72.479172696561412968,1.9303260469923227833,0.54231954085481117001,0.73642347929354558977,0.59574394197655937353,0.77184450634603818079,16.861919822730794,0.44908077486455117,4.018510567132362
8,16,0.00011415130320491970984,-122.09840389506928103,1.9372562242834208193,0.54848057557407938341,0.74059474449531397104,0.59574394197655937353,0.77184450634603818079,27.75580867906448,0.44038342360107513,5.726497658444787
9,18,0.000040776013674558599602,-205.35727588337800941,1.9410950746546348662,0.55341946977031363805,0.74392168255153958649,0.59574394197655937353,0.77184450634603818079,45.94542665107444,0.43428917232985725,8.347641711378673
10,20,0.000014528090650363352887,-345.09459921307471826,1.9432761039343770083,0.55745033879718130001,0.74662596981164625172,0.59574394197655937353,0.77184450634603818079,76.33732290216471,0.4298661751658,12.38381302523434
11,22,5.16816402651138315e-6,-579.64256674750253624,1.9445371890108458251,0.56079432710519062574,0.7488620214066077378,0.59574394197655937353,0.77184450634603818079,127.14700228691188,0.42654230141425775,18.626217297176563
12,24,1.8367841697818950598e-6,-973.34171112121214685,1.9452747610260211715,0.56360896007214107581,0.75073894269056076175,0.59574394197655937353,0.77184450634603818079,212.133979265529,0.42396094928049544,28.325737062878662
13,26,6.5243463600182512602e-7,-1634.1905544989207342,1.9457092698922166483,0.56600839092884097482,0.75233529156144268627,0.59574394197655937353,0.77184450634603818079,354.34804244900675,0.42189588543583056,43.46540680410848
14,28,2.3167050222874228822e-7,-2743.4714594776022908,1.9459663824999898533,0.56807687548873122339,0.75370874712234249311,0.59574394197655937353,0.77184450634603818079,592.4092798103687,0.4202006691957785,67.19721563617186
15,30,8.2246581236504977662e-8,-4605.4795348851493296,1.946118935741668649,0.5698777175479091616,0.75490245565099943024,0.59574394197655937353,0.77184450634603818079,991.0366610542898,0.4187783698706737,104.54362751540538
16,32,2.9195325090447823957e-8,-7730.9960912513036499,1.9462095980832284494,0.57145927272616920297,0.75594925274529453891,0.59574394197655937353,0.77184450634603818079,1658.7010463562788,0.4175632555838979,163.5261450034314
17,34,1.0362820742399718785e-8,-12977.4048673869743,1.9462635313700820875,0.57285904321050070491,0.7568745227648376228,0.59574394197655937353,0.77184450634603818079,2777.225995613406,0.41650959717061603,256.9837358945074
18,36,3.6781065502489602403e-9,-21783.887352901231598,1.9462956340137709146,0.57410651955830450847,0.75769817180609886203,0.59574394197655937353,0.77184450634603818079,4651.426508921365,0.4155847374524667,405.50714764035575
19,38,1.305448345708585063e-9,-36566.215387820625118,1.9463147491054410051,0.57522518712672029422,0.75843601386453181415,0.59574394197655937353,0.77184450634603818079,7792.355728331195,0.4147647418107932,642.1804418093111
20,40,4.6332801832473422279e-10,-61379.439539280493804,1.946326133304184562,0.57623396596000521783,0.75910076140128144245,0.59574394197655937353,0.77184450634603818079,13056.922362671696,0.41403162697059775,1020.2527628741415
21,42,1.6444230418910450995e-10,-103030.26024245455342,1.9463329141288500981,0.57714825993713490713,0.75970274445807743648,0.59574394197655937353,0.77184450634603818079,21882.063270643623,0.4133715655233701,1625.5663631799748
22,44,5.8362815011729661831e-11,-172944.22452320787059,1.9463369533229694678,0.57798073208471486896,0.76025044037127322729,0.59574394197655937353,0.77184450634603818079,36677.52776583166,0.4127737011396285,2596.712729974501
23,46,2.0713692791786018394e-11,-290299.95295056182802,1.9463393594918414397,0.5787418850870442343,0.76075086926473126068,0.59574394197655937353,0.77184450634603818079,61484.73578099762,0.4122293512010726,4157.757704964524
24,48,7.3515346738674766102e-12,-487290.16997182704023,1.9463407928968061056,0.57944050126626888617,0.76120989304282487509,0.59574394197655937353,0.77184450634603818079,103081.99536578306,0.4117314589071698,6671.427529474931
25,50,2.6091437078129303276e-12,-817952.73006896163615,1.946341646819409645,0.5800839798556740397,0.76163244406713271244,0.59574394197655937353,0.77184450634603818079,172838.5467911483,0.4112742086782876,10725.631862483866
26,52,9.260143118280332394e-13,-1372994.1443334876158,1.9463421555316285319,0.58067859829021383934,0.76202270195199161096,0.59574394197655937353,0.77184450634603818079,289824.8999115156,0.41085275035485036,17274.34731310026
27,54,3.2865271487153966939e-13,-2304671.9595056522652,1.9463424585913670806,0.58122971664074858234,0.76238423163175967037,0.59574394197655937353,0.77184450634603818079,486030.89143748296,0.41046299725653623,27867.212346739572
28,56,1.1664245346978312434e-13,-3868561.6603056299684,1.9463426391364887551,0.58174193904683274808,0.76272009220082353097,0.59574394197655937353,0.77184450634603818079,815120.0166711926,0.4101014753724898,45023.99821602023
29,58,4.1397680305977491817e-14,-6493665.4852991031938,1.9463427466948383481,0.58221924229857851152,0.7630329234696092139,0.59574394197655937353,0.77184450634603818079,1367116.9669557733,0.40976520865476246,72845.84597888237
30,60,1.4692487502997571038e-14,-10900095.228056591771,1.9463428107719624762,0.58266507908400954467,0.76332501536633105725,0.59574394197655937353,0.77184450634603818079,2293050.1949276445,0.40945163030767384,118013.70195159587
31,62,5.2145235328373118865e-15,-18296611.469812427915,1.9463428489454815815,0.58308246152413199278,0.76359836401352510545,0.59574394197655937353,0.77184450634603818079,3846297.8651208812,0.4091585131511265,191420.3677219616
32,64,1.850691031972681187e-15,-30712207.702676402219,1.9463428716871103443,0.58347402924134722987,0.76385471736538174623,0.59574394197655937353,0.77184450634603818079,6451960.691404227,0.40888391423016196,310840.0341483907
33,66,6.5683033417554758562e-16,-51552698.655335405725,1.9463428852352929458,0.58384210519630415958,0.76409561260113525114,0.59574394197655937353,0.77184450634603818079,10823262.393688157,0.4086261302406031,505297.5863631928
34,68,2.3311621218695215063e-16,-86534994.712789841024,1.9463428933065388935,0.58418874177939747569,0.76432240695886802955,0.59574394197655937353,0.77184450634603818079,18156861.307465244,0.4083836612902027,822224.293078972
35,70,8.2735472484025868293e-17,-145255350.20879394377,1.9463428981149341457,0.58451575908308347562,0.76453630331272266905,0.59574394197655937353,0.77184450634603818079,30460574.977720875,0.40815518117001653,1339183.5644810747
36,72,2.9363716564727694614e-17,-243821783.46732054935,1.9463429009795062658,0.58482477685876616856,0.76473837150934578206,0.59574394197655937353,0.77184450634603818079,51103297.112037346,0.4079395127711862,2183096.095814222
