sigma,scaled_coordinate,observed,conditioned_profile,unconditioned_profile,affine_profile
0.001,-1.1317236455128263,1.2056329725396897e-96,7.297817635328954e-67,7.297817635328954e-67,3.5329760043431448e-09
0.001,-1.1286354837353174,3.3383661663065157e-95,2.838731196376199e-66,2.838731196376199e-66,3.9073622749945075e-09
0.001,-1.1255473219578087,5.683755835952545e-94,1.0942934700770306e-65,1.0942934700770306e-65,4.3202327507651046e-09
0.001,-1.1224591601803033,1.267233123248725e-92,4.180601426000999e-65,4.180601426000999e-65,4.7754146233110345e-09
0.001,-1.1193709984027944,2.242957248507617e-91,1.5829100981575686e-64,1.5829100981575686e-64,5.277102131343016e-09
0.001,-1.1162828366252855,4.506487700050483e-90,5.940231026423166e-64,5.940231026423166e-64,5.829890373680167e-09
0.001,-1.1131946748477766,8.81654800243737e-89,2.2095155274517002e-63,2.2095155274517002e-63,6.438812099294478e-09
0.001,-1.1101065130702676,1.5081551112400366e-87,8.146187729125087e-63,8.146187729125087e-63,7.109377723173745e-09
0.001,-1.1070183512927623,2.2627353075701574e-86,2.9770927545718557e-62,2.9770927545718557e-62,7.847618836407623e-09
0.001,-1.1039301895152533,3.5439682822654654e-85,1.0785190905999954e-61,1.0785190905999954e-61,8.66013549989868e-09
0.001,-1.1008420277377446,6.047687432115812e-84,3.8732694871629914e-61,3.8732694871629914e-61,9.554147633600015e-09
0.001,-1.0977538659602357,7.915062792423437e-83,1.3789827995489798e-60,1.3789827995489798e-60,1.0537550837351884e-08
0.001,-1.0946657041827268,1.2869695664324736e-81,4.867299310979933e-60,4.867299310979933e-60,1.1618977005229058e-08
0.001,-1.0915775424052214,1.7558433566459803e-80,1.7032645376642961e-59,1.7032645376642961e-59,1.280786012303756e-08
0.001,-1.0884893806277125,3.0697740019686885e-79,5.909595298138576e-59,5.909595298138576e-59,1.4114507668273039e-08
0.001,-1.0854012188502036,3.258994874033286e-78,2.0329732493321925e-58,2.0329732493321925e-58,1.5550178063576398e-08
0.001,-1.0823130570726947,4.6175816720590754e-77,6.93458602955203e-58,6.93458602955203e-58,1.712716466873906e-08
0.001,-1.079224895295186,5.424317574915845e-76,2.3455300291052133e-57,2.3455300291052133e-57,1.885888683258742e-08
0.001,-1.0761367335176806,5.612360018950137e-75,7.8670086307428e-57,7.8670086307428e-57,2.0759988564917664e-08
0.001,-1.0730485717401717,6.972333158403374e-74,2.6166340107084457e-56,2.6166340107084457e-56,2.2846445430140157e-08
0.001,-1.0699604099626627,7.69777671373942e-73,8.630929730321952e-56,8.630929730321952e-56,2.513568030853551e-08
0.001,-1.0668722481851538,7.62493500315183e-72,2.8233836998915644e-55,2.8233836998915644e-55,2.7646688718374925e-08
0.001,-1.0637840864076449,8.567245192448182e-71,9.160019372472981e-55,9.160019372472981e-55,3.040017444252318e-08
0.001,-1.0606959246301395,8.745937926301553e-70,2.9474975592100456e-54,2.9474975592100456e-54,3.3418696256971173e-08
0.001,-1.0576077628526306,9.177046226248072e-69,9.407136768719169e-54,9.407136768719169e-54,3.672682661609545e-08
0.001,-1.0545196010751219,8.366752845755673e-68,2.9780002957175785e-53,2.9780002957175785e-53,4.035132321045472e-08
0.001,-1.051431439297613,7.904755371963804e-67,9.351291267945854e-53,9.351291267945854e-53,4.432131437812037e-08
0.001,-1.048343277520104,6.906125764154952e-66,2.9128241037329565e-52,2.9128241037329565e-52,4.866849941966072e-08
0.001,-1.0452551157425987,5.5563221329516895e-65,9.000548655366728e-52,9.000548655366728e-52,5.3427364940660366e-08
0.001,-1.0421669539650897,4.9671420455834094e-64,2.759001529092789e-51,2.759001529092789e-51,5.863541842401711e-08
0.001,-1.0390787921875808,4.1366090224797384e-63,8.390334562327411e-51,8.390334562327411e-51,6.433344031745097e-08
0.001,-1.035990630410072,3.008230708539637e-62,2.5314368993029823e-50,2.5314368993029823e-50,7.056575601033564e-08
0.001,-1.0329024686325632,2.5210061518424584e-61,7.577596879519366e-50,7.577596879519366e-50,7.738052916776693e-08
0.001,-1.0298143068550578,1.8751682500489772e-60,2.2505490800795178e-49,2.2505490800795178e-49,8.483007798961304e-08
0.001,-1.026726145077549,1.414747294957728e-59,6.632146002300204e-49,6.632146002300204e-49,9.29712160681715e-08
0.001,-1.02363798330004,9.791516141637332e-59,1.9392965698307317e-48,1.9392965698307317e-48,1.0186561963007487e-07
0.001,-1.020549821522531,6.652335585610888e-58,5.626973456267466e-48,5.626973456267466e-48,1.1158022306733586e-07
