component_period,original_period,cycle_two_step_radius,packet_two_step_radius,radius_identity_error,endpoint_width,critical_source_width,critical_width_over_lambda_k,minimum_channel_coefficient,maximum_channel_coefficient,raw_balancing_condition,packet_balancing_condition,packet_eigenvalue_condition,raw_condition_exponent,packet_condition_exponent,riccati_residual
2,4,0.47624437857091956,0.47624437857091956,0.0,0.512813698365138,1.0599151300839644,0.3761753738123118,0.4149816310926289,0.5465511992018145,1.8009866142904563,1.147627612617427,1.009495202000854,0.5679516095461191,0.13292631811053304,0.0
3,6,0.49491321003022093,0.494913210030221,5.551115123125783e-17,0.4426737954582064,1.4963230131252405,0.3163765308976959,0.3880838530697747,0.6893107855038778,2.6505626180571693,1.392791244068402,1.039643923027268,0.6273337798016915,0.2132209985706282,1.7065685743767444e-16
4,8,0.5113337019234467,0.5113337019234467,0.0,0.4167598709084506,2.289466190699689,0.2883850705844757,0.37828030226940135,0.8299045611904861,4.064036961911086,1.7614003010016086,1.0972182104902104,0.6767989912880168,0.2732480517362127,0.0
5,10,0.5243955146366646,0.5243955146366647,1.1102230246251565e-16,0.40791168686279267,3.656660272954911,0.2743991661801751,0.367836871399914,0.9235836064061226,6.415753474526731,2.3483313782559656,1.187209072570491,0.7177437157613212,0.3296512662643746,0.0
6,12,0.5344918741145646,0.5344918741145646,0.0,0.40489139957532183,5.97206647394199,0.26698228257360956,0.35931587725591074,0.969687536596763,10.332520438739143,2.9128199246901065,1.3116076301398707,0.7514630762976836,0.3440272093055187,1.8988284027996276e-16
7,14,0.5423195408548112,0.5423195408548112,0.0,0.4038436765588511,9.870414976495855,0.2628771606364787,0.3564306369419575,0.9886947785765323,16.861919822730794,3.9980439104478673,1.476166654528786,0.7791951046226194,0.38222674138801793,1.905872958206873e-16
8,16,0.5484805755740794,0.5484805755740794,0.0,0.4034756885734425,16.42093423711946,0.2605403186658121,0.35544152924905237,0.9958971058949407,27.75580867906448,4.91316826828986,1.6862387034246964,0.8020758545070938,0.38419162651652605,1.9084235872322806e-16
9,18,0.5534194697703136,0.5534194697703138,1.1102230246251565e-16,0.40334559235186696,27.420493962316637,0.25918626718186877,0.3550975544298623,0.9985284698486661,45.94542665107444,6.769451753590532,1.9517744967102049,0.8210780108386456,0.4102586115757701,0.0
10,20,0.5574503387971813,0.5574503387971813,0.0,0.40329946881670925,45.88644867593586,0.2583930302290831,0.3549768065295761,0.9994750030755365,76.33732290216471,8.38170412076124,2.2828996362331386,0.8369938065811539,0.41047871731213653,0.0
11,22,0.5607943271051906,0.5607943271051906,0.0,0.40328309977028237,76.88432671638054,0.25792521310324584,0.3549341983220871,0.9998131619236015,127.14700228691188,11.429807503202163,2.6955106359923104,0.8504501033322941,0.42760380477819804,1.9097831998845742e-16
12,24,0.5636089600721411,0.5636089600721411,0.0,0.403277288861581,128.91738530589384,0.25764819592920113,0.3549191221332217,0.9999335897403835,212.133979265529,14.222188489218519,3.2064822802263975,0.8619359462530012,0.4271378138196264,1.145959936384453e-16
13,26,0.5660083909288409,0.5660083909288409,0.0,0.40327522599596194,216.25919995662883,0.25748376093393016,0.35491378014632513,0.9999764103611573,354.34804244900675,19.26859586560117,3.8407870891406684,0.8718310860549553,0.4393814356918114,0.0
14,28,0.5680768754887312,0.5680768754887312,0.0,0.4032744937219979,362.8691545647495,0.25738601128500627,0.3549118859087846,0.9999916237093278,592.4092798103687,24.05992986068971,4.625602372632805,0.8804307660118569,0.43862239904813005,1.9098446721934383e-16
15,30,0.5698777175479092,0.5698777175479092,0.0,0.40327423379567934,608.9649183120149,0.2573278525618166,0.3549112139587136,0.9999970263202276,991.0366610542898,32.450155550041664,5.600035940983369,0.8879656370037615,0.44788664509531867,3.8196930644268297e-16
16,32,0.5714592727261693,0.5714592727261693,0.0,0.4032741415371002,1022.0548541353623,0.2572932314810991,0.3549109755440515,0.9999989444327014,1658.7010463562788,40.62522423768138,6.8073813560504535,0.8946171453442856,0.4470061902616182,5.7295415776787065e-16
17,34,0.5728590432105007,0.5728590432105006,-1.1102230246251565e-16,0.40327410879176767,1715.4567408363614,0.25727261563082027,0.3549108909419643,0.999999625330765,2777.225995613406,54.60982289556178,8.308973227873105,0.9005291948258081,0.45430884767354296,1.9098474269669786e-16
18,36,0.5741065195583045,0.5741065195583045,0.0,0.40327409716970913,2879.382817464915,0.2572603372161607,0.35491086091863383,0.9999998670180474,4651.426508921365,68.50730578764362,10.17359056637774,0.9058169113436549,0.45338853510603344,1.909847510169898e-16
19,38,0.5752251871267203,0.5752251871267203,0.0,0.40327409304483147,4833.118320148445,0.25725302361506625,0.3549108502636256,0.9999999528016227,7792.355728331195,91.85423985498326,12.497725653510015,0.9105732175323992,0.4593262343792552,1.9098475397014604e-16
20,40,0.5762339659600052,0.5762339659600052,0.0,0.40327409158084987,8112.606994655738,0.25724866700387367,0.35491084648217286,0.9999999832484378,13056.922362671696,115.42005776700121,15.390681804938819,0.9148737750078632,0.4584062280759429,1.1182982493142951e-16
21,42,0.5771482599371349,0.5771482599371349,0.0,0.40327409106126305,13617.469819368183,0.25724607172904373,0.35491084514012067,0.9999999940546158,21882.063270643623,154.44072375593393,19.004782286957532,0.9187807166693684,0.46335282516883036,1.9098475539030223e-16
22,44,0.5779807320847149,0.5779807320847148,-1.1102230246251565e-16,0.4032740908768552,22857.786740199197,0.25724452566298517,0.3549108446638173,0.9999999978899032,36677.52776583166,194.32797282273867,23.513984827314122,0.9223454827254683,0.46245293783842106,1.9098475552233368e-16
23,46,0.5787418850870443,0.5787418850870443,0.0,0.4032740908114068,38368.33795428484,0.25724360462237766,0.3549108444947733,0.9999999992511005,61484.73578099762,259.59723876516796,29.159540281216703,0.9256109910846714,0.46665509811360767,1.6195491078971362e-16
24,48,0.5794405012662689,0.5794405012662688,-1.1102230246251565e-16,0.4032740907881784,64403.93835606854,0.2572430559247164,0.3549108444347778,0.9999999997342067,103081.99536578306,327.0174093425241,36.218815609539774,0.9286133111183585,0.46578472608708926,3.8196951117164926e-16
25,50,0.5800839798556741,0.5800839798556741,0.0,0.4032740907799345,108106.6075195991,0.25724272904378703,0.35491084441348486,0.9999999999056669,172838.5467911483,436.2576921898075,45.075065472544274,0.9313829646920749,0.46941207638207,3.8196951118345447e-16
26,52,0.5806785982902138,0.5806785982902138,0.0,0.40327409077700854,181464.75031310963,0.25724253430729765,0.3549108444059279,0.9999999999665201,289824.8999115156,550.095515615191,56.171396004699936,0.9339459455591163,0.468575150813023,1.1112715855904943e-16
27,54,0.5812297166407486,0.5812297166407486,0.0,0.40327409077597004,304601.7855808694,0.2572424182945134,0.35491084440324583,0.9999999999881177,486030.89143748296,733.0132421002179,70.11833197161783,0.9363245244020304,0.47174837872336284,0.0
28,56,0.5817419390468328,0.5817419390468327,-1.1102230246251565e-16,0.40327409077560156,511296.3511342205,0.2572423491807063,0.3549108444022938,0.9999999999957828,815120.0166711926,925.0665693903579,87.62511245030967,0.9385378895064311,0.47094593008241853,1.1110619814265014e-16
29,58,0.5822192422985785,0.5822192422985785,0.0,0.40327409077547066,858248.3736216916,0.2572423080066121,0.3549108444019561,0.9999999999985033,1367116.9669557733,1231.4634261931535,109.66674243545332,0.940602660438043,0.4737533840785907,1.9098475559492318e-16
30,60,0.5826650790840096,0.5826650790840096,0.0,0.40327409077542437,1440632.8479587673,0.2572422834774083,0.35491084440183607,0.9999999999994688,2293050.1949276445,1555.256246741669,137.3805293161489,0.9425333028559457,0.4729849103377443,1.9098475559495639e-16
31,62,0.583082461524132,0.583082461524132,0.0,0.4032740907754079,2418207.9994657505,0.25724226886428847,0.3549108444017936,0.9999999999998115,3846297.8651208812,2068.6336314644486,172.32710658612672,0.9443424657914226,0.475492847914412,3.819695111899364e-16
32,64,0.5834740292413473,0.5834740292413472,-1.1102230246251565e-16,0.40327409077540194,4059139.753238352,0.25724226015861257,0.35491084440177856,0.999999999999933,6451960.691404227,2614.23638396177,216.33341075858644,0.9460412576805762,0.47475706105872423,3.8196951118994487e-16
33,66,0.5838421051963042,0.5838421051963041,-1.1102230246251565e-16,0.4032740907753999,6813564.327541748,0.25724225497225944,0.3549108444017732,0.9999999999999764,10823262.393688157,3474.614742913074,271.90266882532296,0.9476394736787198,0.4770162156077181,5.729542667849215e-16
34,68,0.5841887417793975,0.5841887417793975,0.0,0.40327409077539905,11437068.454440245,0.2572422518825212,0.35491084440177123,0.9999999999999916,18156861.307465244,4393.563132771299,341.9744726925079,0.94914578396114,0.47631145515769857,3.819695111899488e-16
35,70,0.5845157590830835,0.5845157590830835,0.0,0.4032740907753988,19197960.007208098,0.25724225004182844,0.35491084440177056,0.9999999999999971,30460574.977720875,5835.760066161291,430.5716360285634,0.9505678905800216,0.47836138054891036,5.729542667849237e-16
36,72,0.5848247768587662,0.5848247768587662,0.0,0.4032740907753989,32225186.984991148,0.25724224894524694,0.35491084440177023,0.999999999999999,51103297.112037346,7382.948118391336,542.4314111996418,0.9519126588221213,0.4776858441037844,3.819695111899493e-16
37,74,0.5851172413407724,0.5851172413407725,1.1102230246251565e-16,0.4032740907753989,54092345.104235,0.2572422482919651,0.3549108444017702,0.9999999999999996,85737764.0907862,9800.79099490936,684.0300548594348,0.9531862277661853,0.479557869765438,3.819695111899493e-16
38,76,0.5853944478737404,0.5853944478737404,0.0,0.4032740907753988,90797977.47154532,0.2572422479027765,0.3549108444017701,0.9999999999999999,143848989.18988535,12404.892837300025,863.0129879140349,0.9543941037778246,0.47890974086858407,5.72954266784924e-16
39,78,0.5856575600896613,0.5856575600896614,1.1102230246251565e-16,0.4032740907753988,152411079.64683285,0.25724224767091963,0.3549108444017701,1.0,241352623.8469596,16458.94227358049,1089.823186659697,0.955541239933103,0.48062903110194466,5.72954266784924e-16
40,80,0.5859076262330113,0.5859076262330113,0.0,0.4032740907753988,255833200.85358414,0.25724224753279235,0.3549108444017701,1.0,404955211.63100296,20840.778305589767,1376.816522820153,0.9566321037785865,0.48000654855769437,5.72954266784924e-16
41,82,0.5861455931167132,0.5861455931167132,0.0,0.4032740907753988,429434833.9035442,0.2572422474505039,0.3549108444017701,1.0,679471123.158218,27639.05323247372,1740.8577011537354,0.9576707353766751,0.4815935686651142,5.72954266784924e-16
42,84,0.5863723181005231,0.5863723181005231,0.0,0.4032740907753988,720837936.508305,0.257242247401481,0.3549108444017701,1.0,1140101229.537081,35010.523749113105,2201.941041610952,0.9586607972221137,0.4809950621194734,5.72954266784924e-16
43,86,0.5865885794111874,0.5865885794111874,0.0,0.4032740907753988,1209979465.3972828,0.25724224737227586,0.3549108444017701,1.0,1913038170.9238167,46411.71076457103,2787.3400532908,0.9596056173266816,0.4824666422685841,5.72954266784924e-16
44,88,0.5867950850661248,0.5867950850661249,1.1102230246251565e-16,0.4032740907753988,2031039478.6407309,0.2572422473548771,0.3549108444017701,1.0,3210045117.171018,58810.10853987626,3529.4489724064556,0.9605082265380644,0.48189054827908695,5.72954266784924e-16
45,90,0.5869924806162148,0.5869924806162148,0.0,0.4032740907753988,3409249067.3431106,0.2572422473445119,0.3549108444017701,1.0,5386484708.554617,77932.28492537841,4472.431908984515,0.9613713909730601,0.48326066873400747,5.72954266784924e-16
46,92,0.587181355886063,0.587181355886063,0.0,0.4032740907753988,5722675174.757238,0.2572422473383369,0.3549108444017701,1.0,9038702182.716164,98782.07304386435,5668.833175186543,0.9621976402951221,0.48270553561391116,5.72954266784924e-16
47,94,0.5873622508599788,0.5873622508599788,0.0,0.4032740907753988,9605930956.9959,0.25724224733465817,0.3549108444017701,1.0,15167453362.96984,130856.26543968795,7190.255010140053,0.962989292444224,0.48398591526451423,5.72954266784924e-16
48,96,0.5875356608373679,0.5875356608373679,0.0,0.4032740907753988,16124261247.27933,0.25724224733246653,0.3549108444017701,1.0,25452171060.190105,165913.02258420113,9122.017602700826,0.9637484753275088,0.4834504015842847,5.72954266784924e-16
49,98,0.5877020409611896,0.5877020409611896,0.0,0.4032740907753988,27065757804.771652,0.2572422473311609,0.3549108444017701,1.0,42711245024.88009,219715.38614899138,11580.340299379788,0.9644771458976102,0.4846509452114541,5.72954266784924e-16
50,100,0.5878618102066568,0.5878618102066568,0.0,0.4032740907753988,45431864090.62094,0.2572422473303831,0.3549108444017701,1.0,71674479490.45102,278651.8024886479,14703.904888562125,0.9651771069783697,0.484133814856603,5.72954266784924e-16
51,102,0.5880153549037719,0.5880153549037719,0.0,0.4032740907753988,76260723591.75865,0.2572422473299197,0.3549108444017701,1.0,120279466633.18367,368906.7229428775,18681.551435793208,0.9658500221421706,0.48526295735726854,5.72954266784924e-16
52,104,0.5881630318560437,0.5881630318560437,0.0,0.4032740907753988,128009230507.08495,0.2572422473296437,0.3549108444017701,1.0,201847233671.51215,467977.20400376985,23738.913638239876,0.9664974288970872,0.48476307286719067,5.72954266784924e-16
53,106,0.5883051711083833,0.5883051711083833,0.0,0.4032740907753988,214872903419.3685,0.2572422473294792,0.3549108444017701,1.0,338733559068.5868,619389.6364019471,30183.138077238196,0.9671207504035941,0.48582804724808476,5.72954266784924e-16
54,108,0.5884420784093682,0.5884420784093682,0.0,0.4032740907753988,360679963788.4378,0.25724224732938117,0.3549108444017701,1.0,568456891032.2916,785906.8249173535,38381.66149361421,0.9677213059086722,0.48534436245688584,5.72954266784924e-16
55,110,0.5885740374065382,0.5885740374065382,0.0,0.4032740907753988,605427832957.3809,0.25724224732932277,0.3549108444017701,1.0,953982747079.989,1039928.5881356299,48834.52698891025,0.9683003200580821,0.4863514106953745,5.72954266784924e-16
56,112,0.5887013116078913,0.5887013116078912,-1.1102230246251565e-16,0.4032740907753988,1016255122878.1453,0.25724224732928797,0.3549108444017701,1.0,1600983969292.2092,1319783.54146104,62140.60677716885,0.9688589312250383,0.485882963270308,5.72954266784924e-16
57,114,0.5888241461381232,0.5888241461381232,0.0,0.4032740907753988,1705858929100.197,0.25724224732926726,0.3549108444017701,1.0,2686808669710.0303,1745967.4284130356,79114.71011131375,0.9693981989743748,0.4868375038433839,5.72954266784924e-16
58,116,0.5889427693142393,0.5889427693142393,0.0,0.4032740907753988,2863409610915.079,0.25724224732925494,0.3549108444017701,1.0,4509097468022.178,2216262.326524737,100733.71225928587,0.9699191107650948,0.4863834080579941,5.72954266784924e-16
59,118,0.5890573940618458,0.5890573940618458,0.0,0.4032740907753988,4806443522387.782,0.2572422473292475,0.3549108444017701,1.0,7567378742044.63,2931315.086465753,128326.44405554656,0.9704225879804107,0.4872901702444129,5.72954266784924e-16
60,120,0.5891682191906052,0.5891682191906052,0.0,0.4032740907753988,8067968776049.794,0.25724224732924317,0.3549108444017701,1.0,12700012122282.555,3721583.3267432903,163487.6064242013,0.9709094913627339,0.486849610166251,5.72954266784924e-16
61,122,0.5892754305449274,0.5892754305449274,0.0,0.4032740907753988,13542678670439.86,0.2572422473292405,0.3549108444017701,1.0,21314025402420.09,4921338.40579994,208386.0461585292,0.9713806259209535,0.4877127426107104,5.72954266784924e-16
62,124,0.5893792020439047,0.5893792020439048,1.1102230246251565e-16,0.4032740907753988,22732381676442.863,0.25724224732923895,0.3549108444017701,1.0,35770859186990.72,6249188.240517312,265626.9428058048,0.9718367453688624,0.4872849657882182,5.72954266784924e-16
63,126,0.5894796966227362,0.5894796966227362,0.0,0.4032740907753988,38157973711023.02,0.25724224732923795,0.3549108444017701,1.0,60033780364413.43,8262259.924027109,338752.8401895781,0.972278556146116,0.4881081249403134,5.72954266784924e-16
64,128,0.5895770670863528,0.5895770670863528,0.0,0.4032740907753988,64050963882943.42,0.25724224732923745,0.3549108444017701,1.0,100754470791658.34,10493243.4277222,432022.65004568076,0.9727067210668879,0.4876924366165336,5.72954266784924e-16
65,130,0.5896714568846552,0.5896714568846552,0.0,0.4032740907753988,107514251291309.9,0.2572422473292372,0.3549108444017701,1.0,169096713771610.7,13871066.252976358,551226.8168908167,0.9731218626357407,0.48847885929508983,0.0
66,132,0.589763000817633,0.589763000817633,0.0,0.4032740907753988,180470574211126.72,0.25724224732923695,0.3549108444017701,1.0,283797206153676.8,17619235.24715364,703332.3686175625,0.9735245660656666,0.4880746171425006,1.1109467253535188e-16
67,134,0.5898518256776548,0.5898518256776548,0.0,0.4032740907753988,302933125282585.9,0.2572422473292368,0.3549108444017701,1.0,476302736099488.2,23287165.097560015,897810.4676751791,0.9739153820289772,0.4888271804756972,1.1489900884580697e-16
68,136,0.5899380508353654,0.5899380508353654,0.0,0.4032740907753988,508495519530612.8,0.25724224732923673,0.3549108444017701,1.0,799392299757451.2,29583959.8929519,1146065.4695033669,0.9742948291682775,0.4884337898278853,1.1109467253533083e-16
