sigma,component_period,physical_eigenvalue_index,physical_real,physical_imag,phase_index,lifted_real,lifted_imag,lifted_modulus
0.01,3,0,-0.05694131517891181,0.12782260766852574,0,-0.013096305656877682,-0.014556774780487827,0.019580932405486026
0.01,3,0,-0.05694131517891181,0.12782260766852574,1,0.01915468958550994,-0.004063346004338012,0.019580932405486026
0.01,3,0,-0.05694131517891181,0.12782260766852574,2,-0.006058383928632253,0.01862012078482584,0.01958093240548603
0.01,3,1,-0.05694131517891181,-0.12782260766852574,0,-0.013096305656877682,0.014556774780487827,0.019580932405486026
0.01,3,1,-0.05694131517891181,-0.12782260766852574,1,-0.006058383928632267,-0.018620120784825833,0.019580932405486026
0.01,3,1,-0.05694131517891181,-0.12782260766852574,2,0.01915468958550995,0.004063346004337999,0.01958093240548603
0.01,3,2,-0.20519323950695623,0.13647347600473378,0,0.023479255886544453,-0.056006869296372365,0.06072927519217375
0.01,3,2,-0.20519323950695623,0.13647347600473378,1,0.03676374365382094,0.04833706670788899,0.06072927519217375
0.01,3,2,-0.20519323950695623,0.13647347600473378,2,-0.06024299954036538,0.007669802588483394,0.060729275192173755
0.01,3,3,-0.20519323950695623,-0.13647347600473378,0,0.023479255886544453,0.056006869296372365,0.06072927519217375
0.01,3,3,-0.20519323950695623,-0.13647347600473378,1,-0.06024299954036538,-0.007669802588483349,0.06072927519217375
0.01,3,3,-0.20519323950695623,-0.13647347600473378,2,0.0367637436538209,-0.04833706670788902,0.06072927519217375
0.01,3,4,0.0731885801741299,0.2382288030963804,0,-0.05139639435682894,0.03487125571041288,0.062109530892639014
0.01,3,4,0.0731885801741299,0.2382288030963804,1,-0.004501196128666268,-0.061946211031143464,0.062109530892639014
0.01,3,4,0.0731885801741299,0.2382288030963804,2,0.05589759048549521,0.02707495532073056,0.06210953089263902
0.01,3,5,0.0731885801741299,-0.2382288030963804,0,-0.05139639435682894,-0.03487125571041288,0.062109530892639014
0.01,3,5,0.0731885801741299,-0.2382288030963804,1,0.05589759048549518,-0.027074955320730596,0.06210953089263901
0.01,3,5,0.0731885801741299,-0.2382288030963804,2,-0.0045011961286662225,0.061946211031143464,0.062109530892639014
0.01,3,6,0.31105446575127316,0.12251625226124854,0,0.08174464859566807,0.07621845478594176,0.11176511273195186
0.01,3,6,0.31105446575127316,0.12251625226124854,1,-0.10687944237965522,0.032683714914309624,0.11176511273195185
0.01,3,6,0.31105446575127316,0.12251625226124854,2,0.025134793783987107,-0.10890216970025138,0.11176511273195185
0.01,3,7,0.31105446575127316,-0.12251625226124854,0,0.08174464859566807,-0.07621845478594176,0.11176511273195186
0.01,3,7,0.31105446575127316,-0.12251625226124854,1,0.025134793783987176,0.10890216970025135,0.11176511273195185
0.01,3,7,0.31105446575127316,-0.12251625226124854,2,-0.10687944237965524,-0.03268371491430955,0.11176511273195185
0.01,3,8,0.01282249143063198,0.5259303950190187,0,-0.27643836411837247,0.01348747596648052,0.27676719669134975
0.01,3,8,0.01282249143063198,0.5259303950190187,1,0.12653868523928197,-0.24614638389036347,0.2767671966913497
0.01,3,8,0.01282249143063198,0.5259303950190187,2,0.14989967887909056,0.23265890792388286,0.27676719669134975
0.01,3,9,0.01282249143063198,-0.5259303950190187,0,-0.27643836411837247,-0.01348747596648052,0.27676719669134975
0.01,3,9,0.01282249143063198,-0.5259303950190187,1,0.1498996788790904,-0.23265890792388294,0.2767671966913497
0.01,3,9,0.01282249143063198,-0.5259303950190187,2,0.12653868523928213,0.2461463838903634,0.27676719669134975
0.01,3,10,0.4044283662120717,0.47357719888486677,0,-0.060713059906671085,0.383056105640592,0.3878376667006022
0.01,3,10,0.4044283662120717,0.47357719888486677,1,-0.3013797886061528,-0.24410710504095956,0.3878376667006022
0.01,3,10,0.4044283662120717,0.47357719888486677,2,0.36209284851282375,-0.13894900059963256,0.3878376667006022
0.01,3,11,0.4044283662120717,-0.47357719888486677,0,-0.060713059906671085,-0.383056105640592,0.3878376667006022
0.01,3,11,0.4044283662120717,-0.47357719888486677,1,0.36209284851282386,0.13894900059963228,0.3878376667006022
0.01,3,11,0.4044283662120717,-0.47357719888486677,2,-0.30137978860615255,0.24410710504095978,0.38783766670060216
0.01,3,12,-0.4217927925285859,0.5265639319995002,0,-0.09936041465371162,-0.44420174264580325,0.45517873431183703
0.01,3,12,-0.4217927925285859,0.5265639319995002,1,0.43437020086343886,0.13605222810223166,0.455178734311837
0.01,3,12,-0.4217927925285859,0.5265639319995002,2,-0.3350097862097271,0.30814951454357165,0.45517873431183703
0.01,3,13,-0.4217927925285859,-0.5265639319995002,0,-0.09936041465371162,0.44420174264580325,0.45517873431183703
0.01,3,13,-0.4217927925285859,-0.5265639319995002,1,-0.33500978620972727,-0.30814951454357137,0.455178734311837
0.01,3,13,-0.4217927925285859,-0.5265639319995002,2,0.4343702008634388,-0.136052228102232,0.45517873431183703
0.01,3,14,-0.9865534036028727,0.0,0,0.9732876181604126,0.0,0.9732876181604126
0.01,3,14,-0.9865534036028727,0.0,1,-0.4866438090802061,0.842891802515766,0.9732876181604126
0.01,3,14,-0.9865534036028727,0.0,2,-0.48664380908020677,-0.8428918025157657,0.9732876181604126
0.01,3,15,0.9999999999999968,0.0,0,0.9999999999999936,0.0,0.9999999999999936
0.01,3,15,0.9999999999999968,0.0,1,-0.49999999999999656,0.8660254037844332,0.9999999999999936
0.01,3,15,0.9999999999999968,0.0,2,-0.4999999999999972,-0.8660254037844328,0.9999999999999936
