sigma,folded_dimension,component_period,packet_model,packet_rank,packet_gram_condition,synthesis_norm,analysis_norm,packet_pair_residual,packet_component_norm,external_component_norm,external_to_packet_component_ratio,spectral_packet_weight_real,spectral_packet_weight_imag,spectral_packet_weight_modulus,direct_closest_distance,self_energy_action_norm,self_energy_to_target_coordinate_ratio,physical_self_energy_to_target_packet_ratio,external_forcing_norm,external_resolvent_lower_bound,packet_closure_residual,external_equation_residual
0.01,2048,3,branch_complete,4,1.7356198601071027,1.041631223965619,1.3826458060732378,1.547625371460039e-15,0.35075796180702207,0.9357788200188903,2.667876204998966,0.9393301048311968,-0.7159502620139658,1.1810697792764209,0.2480796555663635,0.15563569585923084,0.9474747169754033,0.8287861328568902,0.1782880211892434,5.248691492434089,3.100365928874097e-15,9.744095421011825e-15
0.01,2048,3,critical_bright,3,1.7317072882747855,1.0414919344642861,1.380035166636943,1.5880971651604528e-15,0.35030273124034744,0.9359488637389768,2.6718286221320087,0.9450848320709936,-0.7051954242650962,1.179188672865834,0.24757568196448282,0.15477945234980026,0.9431785611098052,0.826450853124905,0.17871396999246772,5.237133189858769,3.313087534635223e-15,9.78731013464558e-15
0.01,2048,3,left_label,3,1.435176951047838,1.04649635663422,1.1969135905834472,1.3333050060062091e-15,0.26514593395833413,0.9649763555473536,3.639416004391729,0.5664520090118756,-0.7238662844935149,0.9191573729998777,0.1768526059741118,0.0841770004051598,0.7026076914999172,0.6558137414404884,0.14748539900714075,6.5428602562931175,3.8616757312454095e-15,1.1930178104530383e-14
0.01,2048,3,right_label,3,1.2908507124985193,1.0206444339000476,1.1558652446573483,8.397505414309306e-16,0.2755176225137606,0.9613859213927015,3.489380870164432,0.4873955653043274,-0.3335262076548573,0.5905879852070781,0.13388889752167635,0.059195849662695386,0.4681059468790479,0.43992443223008754,0.15415846299523175,6.236348642256753,6.056573312031496e-15,1.1310746253582434e-14
0.01,2048,3,all_labels,6,4.521657319930734,1.3185539037145766,1.6923394130390021,1.9999900898535736e-15,0.3514938461073094,0.9352938266518513,2.66091095764536,0.9352153120644435,-0.7010923237650402,1.1688276717985668,0.25210183758791466,0.14814061012948623,0.9674564916859772,0.7997015861112199,0.1790885386875719,5.2225219631922615,3.893172990678522e-15,9.641786099607236e-15
0.004,5120,4,branch_complete,5,1.4325194210815435,1.0579135956220413,1.2080698078190952,2.7836261979284624e-15,0.2916765627607651,0.956166786088995,3.2781748970116906,1.3042379773213877,-0.20474548028967465,1.3202111244745798,0.13622922156868725,0.08909413659347541,0.5831993530022903,0.5322451500262081,0.13443855307501026,7.1122960208854655,1.0672384281558176e-14,1.2920963815047022e-14
0.004,5120,4,critical_bright,4,1.4308637358670386,1.057822627216111,1.2069520602559138,1.4034262250811936e-15,0.2915896398388194,0.956193098750691,3.279242360185503,1.3037096487431628,-0.2025231481938734,1.319346229683618,0.13596929168752347,0.08883672261811158,0.5816700232534943,0.5311408265310587,0.13451834058170303,7.1082730772308595,8.140224352230988e-15,1.2913703493336428e-14
0.004,5120,4,left_label,4,1.2891289467433815,1.0609455159050705,1.1186912791546426,9.259864801779995e-16,0.22290878462591152,0.9749041165331553,4.373556287470915,0.9006760089872814,-0.27384335001282506,0.9413859216662973,0.0748434381875044,0.05540890058736937,0.4831258651238482,0.45547023519821334,0.11177104688999848,8.722331441456616,8.838714810876367e-15,1.599518682132225e-14
0.004,5120,4,right_label,4,1.2148870090659443,1.0421639528007178,1.093617393069852,8.869162946701597e-16,0.2318367806765428,0.9727162293385755,4.195694171131987,0.7936220443492034,-0.08013555715035303,0.7976576062426826,0.06369509834902136,0.04978147499876017,0.41605751078476527,0.39599399355832365,0.1132987032534406,8.585413613805297,1.0926787072758628e-14,1.5473911844204533e-14
0.004,5120,4,all_labels,8,14.586794441092689,1.4353559583968873,2.8288013427015026,2.5049758111641034e-15,0.2922086470733943,0.9559636244132657,3.271510388168477,1.298098161529245,-0.20165388339566515,1.313667814043626,0.13839974931839358,0.08573521771655607,0.6072498434449302,0.5231301715826643,0.13439334283169632,7.113176919860082,6.848552463880401e-15,1.2920164400242862e-14
