sigma,arnoldi_depth,winding_integer,projected_pole_count,projected_zero_count,cauchy_count_error,root_real,root_imag,root_converged,distance_to_maximum_depth_root,maximum_relative_arnoldi_residual,minimum_feshbach_singular_value,maximum_phase_increment
0.01,20,1,0,1,0.0007428200064232763,-0.09936041463106066,-0.44420174285455444,1,2.099770881149304e-10,6.763085227666914e-09,0.01060253370508137,1.0810535398250856
0.01,28,1,0,1,0.0007428194711283533,-0.09936041465371145,-0.44420174264580276,1,2.0014830212433605e-16,1.9062912297325815e-15,0.010602533396230277,1.0810535192764437
0.01,36,1,0,1,0.0007428194711271476,-0.09936041465371141,-0.4442017426458027,1,2.1544120232613906e-16,1.9062912238911446e-15,0.01060253339623016,1.0810535192764512
0.004,26,1,0,1,1.0688339991612522e-05,0.06051732799892213,-0.5118748225100469,1,1.434217163287494e-10,2.2887175041553476e-08,0.011268586904858498,0.7934602455452231
0.004,34,1,0,1,1.068833567820405e-05,0.0605173278555087,-0.511874822511598,1,1.4752290795525882e-16,3.7034110493480465e-15,0.01126858683841294,0.793460225007111
0.004,42,1,0,1,1.068833567811123e-05,0.06051732785550868,-0.511874822511598,1,1.6199010924212654e-16,3.703026085080387e-15,0.011268586838412949,0.793460225007113
0.002,30,1,0,1,1.501703203586312e-05,0.1754568831744867,-0.5129257329218347,1,1.8725084475571598e-10,1.5233799444272855e-08,0.006284239056748628,0.7161460111288678
0.002,38,1,0,1,1.5017034855491683e-05,0.17545688329346612,-0.5129257330664263,1,2.498001805406602e-16,9.0925667654746e-15,0.006284239275438789,0.7161460264111215
0.002,46,1,0,1,1.5017034849773809e-05,0.17545688329346648,-0.5129257330664264,1,1.5700924586837752e-16,9.079468683804948e-15,0.006284239275439061,0.7161460264111574
0.001,34,1,0,1,0.0006782206086267011,0.24923452852902095,-0.48616751344713344,1,3.4078763880206034e-09,2.9898475020790076e-07,0.002651165020612268,0.7153240551452087
0.001,42,1,0,1,0.0006782243444411522,0.24923453184405592,-0.4861675126570921,1,1.0007415106216802e-16,3.580523639898666e-14,0.0026511657816973263,0.7153237142129223
0.001,50,1,0,1,0.0006782243444479812,0.24923453184405586,-0.48616751265709185,1,3.3422138886441676e-16,2.655743259784435e-14,0.0026511657816973276,0.7153237142129281
0.0005,38,1,0,1,1.0512470287778482e-09,0.3025484937819888,-0.47067533312629334,1,1.5382455860537994e-06,9.717647048600127e-05,0.0067417099403467955,0.4282236447201748
0.0005,46,1,0,1,1.05616783049163e-09,0.30254903312634046,-0.47067389253663455,1,1.3335967186403344e-11,6.132164189701405e-10,0.006740397138192885,0.4283342591422503
0.0005,54,1,0,1,1.0561734704497373e-09,0.30254903313953146,-0.47067389253859276,1,4.965068306494546e-16,1.799777126198167e-14,0.00674039714786585,0.4283342595588298
0.0002,42,1,0,1,1.7044717090518362e-08,0.3639202694304754,-0.4382219834350163,1,3.2755609844809425e-05,0.0018783608988100246,0.003756045543823609,0.3798516958318119
0.0002,50,1,0,1,1.690440723276031e-08,0.36395273760506053,-0.43821765601421103,1,3.720150886371082e-10,4.5674437626685603e-07,0.003769038508264264,0.3813355204018338
0.0002,58,1,0,1,1.690441984477708e-08,0.36395273789869526,-0.4382176557857952,1,7.711855592701269e-16,1.3960321499204328e-12,0.003769038283696129,0.3813354808982201
0.0001,46,1,0,1,2.5366002613586343e-05,0.401029440009685,-0.4093852327627974,1,3.840209371707815e-06,0.0006167369149016088,0.0017194701065740153,0.49429100554667427
0.0001,54,1,0,1,2.567690190955067e-05,0.4010315676964496,-0.4093884243052808,1,5.175416507888886e-09,1.0555190098220494e-06,0.0017212250157988707,0.4951463686306785
0.0001,62,1,0,1,2.5676777838734472e-05,0.40103156797864886,-0.4093884294729975,1,6.004449063730082e-16,1.921732648376564e-11,0.001721227325748861,0.49514636964043257
