outer_mode_order,mu_real,mu_imag,mu_modulus,two_step_real,two_step_imag,two_step_modulus,inside_selected_contour,selected_reference_target,sigma
0,-0.4217927925285867,0.5265639319995015,0.6746693518397282,-0.09936041465371223,-0.44420174264580514,0.45517873431183903,1,1,0.01
1,-0.4217927925285867,-0.5265639319995015,0.6746693518397282,-0.09936041465371223,0.44420174264580514,0.45517873431183903,0,0,0.01
2,0.4044283662120727,0.47357719888486866,0.6227661412605897,-0.060713059906672084,0.38305610564059445,0.38783766670060477,0,0,0.01
3,0.4044283662120727,-0.47357719888486866,0.6227661412605897,-0.060713059906672084,-0.38305610564059445,0.38783766670060477,0,0,0.01
4,0.012822491430632257,0.5259303950190202,0.5260866817277845,-0.27643836411837397,0.013487475966480849,0.27676719669135125,0,0,0.01
5,0.012822491430632257,-0.5259303950190202,0.5260866817277845,-0.27643836411837397,-0.013487475966480849,0.27676719669135125,0,0,0.01
6,0.3110544657512738,0.12251625226125216,0.3343128964487508,0.0817446485956676,0.07621845478594418,0.11176511273195315,0,0,0.01
7,0.3110544657512738,-0.12251625226125216,0.3343128964487508,0.0817446485956676,-0.07621845478594418,0.11176511273195315,0,0,0.01
8,0.07318858017412558,-0.23822880309637395,0.24921783823120552,-0.051396394356826504,-0.03487125571040988,0.062109530892635316,0,0,0.01
9,0.07318858017412558,0.23822880309637395,0.24921783823120552,-0.051396394356826504,0.03487125571040988,0.062109530892635316,0,0,0.01
10,-0.2051932395069429,-0.1364734760047233,0.24643310490306577,0.02347925588654185,0.05600686929636442,0.060729275192165415,0,0,0.01
11,-0.2051932395069429,0.1364734760047233,0.24643310490306577,0.02347925588654185,-0.05600686929636442,0.060729275192165415,0,0,0.01
12,-0.05694131613607073,0.1278226083881747,0.13993188592477632,-0.013096305731848716,-0.014556775107136443,0.019580932698464615,0,0,0.01
13,-0.05694131613607073,-0.1278226083881747,0.13993188592477632,-0.013096305731848716,0.014556775107136443,0.019580932698464615,0,0,0.01
14,0.02225324952521419,-0.11626472290627138,0.11837522083148783,-0.013022278678040618,-0.005174535779626286,0.014012692906903509,0,0,0.01
15,0.02225324952521419,0.11626472290627138,0.11837522083148783,-0.013022278678040618,0.005174535779626286,0.014012692906903509,0,0,0.01
16,0.0999834947878348,-0.05133352423895874,0.11239141399938321,0.007361568519197225,-0.010265010306374245,0.012631829940780754,0,0,0.01
17,0.0999834947878348,0.05133352423895874,0.11239141399938321,0.007361568519197225,0.010265010306374245,0.012631829940780754,0,0,0.01
18,-0.10586230651628406,0.0,0.10586230651628406,0.011206827940947678,-0.0,0.011206827940947678,0,0,0.01
19,-0.012826367806244868,0.03621981377183127,0.038423828814515774,-0.0011473591985650632,-0.0009291373066224022,0.0014763906207672128,0,0,0.01
20,-0.012826367806244868,-0.03621981377183127,0.038423828814515774,-0.0011473591985650632,0.0009291373066224022,0.0014763906207672128,0,0,0.01
21,0.02986262411996749,-0.02261540487004618,0.03745974982253048,0.0003803197818943557,-0.0013507106699101427,0.0014032328567665728,0,0,0.01
0,-0.5366363393953042,0.4769289600182421,0.7179413580952654,0.06051732785551015,-0.5118748225115977,0.5154397936636741,1,1,0.004
1,-0.5366363393953042,-0.4769289600182421,0.7179413580952654,0.06051732785551015,0.5118748225115977,0.5154397936636741,0,0,0.004
2,0.5201491425196504,0.43307573701851393,0.6768380341396726,0.08300053646979852,0.4505279465124913,0.45810972445805664,0,0,0.004
3,0.5201491425196504,-0.43307573701851393,0.6768380341396726,0.08300053646979852,-0.4505279465124913,0.45810972445805664,0,0,0.004
4,-0.04922982289047302,0.6158032464546953,0.6177679287612537,-0.37679006288231487,-0.06063176951668592,0.38163721380596954,0,0,0.004
5,-0.04922982289047302,-0.6158032464546953,0.6177679287612537,-0.37679006288231487,0.06063176951668592,0.38163721380596954,0,0,0.004
6,0.0788254125601304,0.4713627640476011,0.47790825583564595,-0.2159694096653197,0.0743107286830711,0.22839630099586922,0,0,0.004
7,0.0788254125601304,-0.4713627640476011,0.47790825583564595,-0.2159694096653197,-0.0743107286830711,0.22839630099586922,0,0,0.004
8,0.3604500603520665,0.12423676628911297,0.38125978034115277,0.1144894719098327,0.0895622998137127,0.14535902010578405,0,0,0.004
9,0.3604500603520665,-0.12423676628911297,0.38125978034115277,0.1144894719098327,-0.0895622998137127,0.14535902010578405,0,0,0.004
10,0.17239584522123638,0.2576574711198848,0.310012418901951,-0.03666704497434978,0.08883815502255768,0.09610769987343876,0,0,0.004
11,0.17239584522123638,-0.2576574711198848,0.310012418901951,-0.03666704497434978,-0.08883815502255768,0.09610769987343876,0,0,0.004
12,-0.0711244629453707,0.27676805416551886,0.2857608178806797,-0.07154186657730016,-0.03936995842591559,0.08165924503583498,0,0,0.004
13,-0.0711244629453707,-0.27676805416551886,0.2857608178806797,-0.07154186657730016,0.03936995842591559,0.08165924503583498,0,0,0.004
14,-0.2373993421288589,-0.10109440707090755,0.25802815114679517,0.04613836850219664,0.04799949146308103,0.06657852678423336,0,0,0.004
15,-0.2373993421288589,0.10109440707090755,0.25802815114679517,0.04613836850219664,-0.04799949146308103,0.06657852678423336,0,0,0.004
16,-0.09756408110538597,-0.11824059979414636,0.15329575780698504,-0.004462089517741151,0.023072070936531158,0.023499589361617817,0,0,0.004
17,-0.09756408110538597,0.11824059979414636,0.15329575780698504,-0.004462089517741151,-0.023072070936531158,0.023499589361617817,0,0,0.004
18,-0.15071091228562922,0.0,0.15071091228562922,0.022713779081966624,-0.0,0.022713779081966624,0,0,0.004
19,0.054379266570581064,0.11162677046530488,0.1241677917870338,-0.009503431251759547,0.01214036381509176,0.015417640517268178,0,0,0.004
20,0.054379266570581064,-0.11162677046530488,0.1241677917870338,-0.009503431251759547,-0.01214036381509176,0.015417640517268178,0,0,0.004
21,-0.030314669503433384,-0.11350625485618866,0.11748467593086533,-0.011964690704375657,0.0068818092050756795,0.013802649078580444,0,0,0.004
0,-0.5989832929492147,0.4281636392068091,0.7362778600305073,0.17545688329346618,-0.5129257330664281,0.5421050871711034,1,1,0.002
1,-0.5989832929492147,-0.4281636392068091,0.7362778600305073,0.17545688329346618,0.5129257330664281,0.5421050871711034,0,0,0.002
2,0.5888148795547943,0.39103253705476276,0.7068305365648907,0.19379651734964248,0.4604915524158115,0.4996094074206113,0,0,0.002
3,0.5888148795547943,-0.39103253705476276,0.7068305365648907,0.19379651734964248,-0.4604915524158115,0.4996094074206113,0,0,0.002
4,-0.23120378944110764,0.6618017218359857,0.701025471204152,-0.3845263267731474,-0.3060221318942595,0.4914367112770035,0,0,0.002
5,-0.23120378944110764,-0.6618017218359857,0.701025471204152,-0.3845263267731474,0.3060221318942595,0.4914367112770035,0,0,0.002
6,0.2054011615831031,0.6479211004390603,0.6796994847532627,-0.37761211521447474,0.26616749328877076,0.4619913895738508,0,0,0.002
7,0.2054011615831031,-0.6479211004390603,0.6796994847532627,-0.37761211521447474,-0.26616749328877076,0.4619913895738508,0,0,0.002
8,0.3712110699474792,0.0,0.3712110699474792,0.1377976584515523,0.0,0.1377976584515523,0,0,0.002
9,0.28041724324443174,0.20140135610005902,0.3452482245396051,0.038071324069864014,0.11295282612653733,0.11919633654774957,0,0,0.002
10,0.28041724324443174,-0.20140135610005902,0.3452482245396051,0.038071324069864014,-0.11295282612653733,0.11919633654774957,0,0,0.002
11,0.1470081885577953,0.3070755458161649,0.340450875077947,-0.0726839833352513,0.09028523948166137,0.1159067983413399,0,0,0.002
12,0.1470081885577953,-0.3070755458161649,0.340450875077947,-0.0726839833352513,-0.09028523948166137,0.1159067983413399,0,0,0.002
13,-0.3217854390348219,0.0,0.3217854390348219,0.10354586877483307,-0.0,0.10354586877483307,0,0,0.002
14,-0.02650034379405302,-0.31595043225943387,0.3170598427207806,-0.0991224074237201,0.016745590153509314,0.10052694386612611,0,0,0.002
15,-0.02650034379405302,0.31595043225943387,0.3170598427207806,-0.0991224074237201,-0.016745590153509314,0.10052694386612611,0,0,0.002
16,-0.22500415936510998,-0.21251213619830042,0.30949681704851956,0.005465463700034822,0.09563222912036469,0.0957882797631648,0,0,0.002
17,-0.22500415936510998,0.21251213619830042,0.30949681704851956,0.005465463700034822,-0.09563222912036469,0.0957882797631648,0,0,0.002
18,0.18750998751979242,0.0,0.18750998751979242,0.03515999541967271,0.0,0.03515999541967271,0,0,0.002
19,-0.06831003001073888,-0.14910344622310195,0.16400639583770354,-0.01756557747553741,0.020370521772409368,0.026898097875673502,0,0,0.002
20,-0.06831003001073888,0.14910344622310195,0.16400639583770354,-0.01756557747553741,-0.020370521772409368,0.026898097875673502,0,0,0.002
21,-0.14226566724344797,0.05767316101778791,0.15351128159847782,0.016913326574439773,-0.01640982146846882,0.023565713578007155,0,0,0.002
0,-0.630699907001778,0.38541904577744013,0.739141538232052,0.24923453184405894,-0.486167512657091,0.546330213540044,1,1,0.001
1,-0.630699907001778,-0.38541904577744013,0.739141538232052,0.24923453184405894,0.486167512657091,0.546330213540044,0,0,0.001
2,0.6261134142754619,0.35167743928429035,0.718119090985076,0.2683409862341204,0.44037992446787694,0.5156950288372318,0,0,0.001
3,0.6261134142754619,-0.35167743928429035,0.718119090985076,0.2683409862341204,-0.44037992446787694,0.5156950288372318,0,0,0.001
4,-0.33034232043061246,0.61189934717362,0.695375337309991,-0.26529476240402095,-0.40427250043062113,0.4835468597389838,0,0,0.001
5,-0.33034232043061246,-0.61189934717362,0.695375337309991,-0.26529476240402095,0.40427250043062113,0.4835468597389838,0,0,0.001
6,0.3197598171980293,0.5915030229452545,0.672400302534057,-0.24762948545885713,0.37827779697811265,0.4521221668478914,0,0,0.001
7,0.3197598171980293,-0.5915030229452545,0.672400302534057,-0.24762948545885713,-0.37827779697811265,0.4521221668478914,0,0,0.001
8,-0.0030997322100078384,0.6594956479298165,0.6595029325015487,-0.43492490129859473,-0.004088519804496083,0.43494411797814225,0,0,0.001
9,-0.0030997322100078384,-0.6594956479298165,0.6595029325015487,-0.43492490129859473,0.004088519804496083,0.43494411797814225,0,0,0.001
10,0.389900027997941,0.0,0.389900027997941,0.15202203183279517,0.0,0.15202203183279517,0,0,0.001
11,0.306571459991522,0.17949312019818828,0.3552517984188323,0.06176827988285212,0.11005493583518466,0.12620384027981466,0,0,0.001
12,0.306571459991522,-0.17949312019818828,0.3552517984188323,0.06176827988285212,-0.11005493583518466,0.12620384027981466,0,0,0.001
13,0.1892322383003241,0.26263918439203454,0.32371002639749014,-0.03317050116596248,0.09939960145575248,0.10478818119026377,0,0,0.001
14,0.1892322383003241,-0.26263918439203454,0.32371002639749014,-0.03317050116596248,-0.09939960145575248,0.10478818119026377,0,0,0.001
15,-0.29898590766166333,-0.11627597153492902,0.3208000538289548,0.07587247142387704,0.06952975377722496,0.1029126745366603,0,0,0.001
16,-0.29898590766166333,0.11627597153492902,0.3208000538289548,0.07587247142387704,-0.06952975377722496,0.1029126745366603,0,0,0.001
17,0.043383556549192556,-0.30203644689538955,0.305136278131671,-0.08934388227433449,-0.026206830547606655,0.09310814823204847,0,0,0.001
18,0.043383556549192556,0.30203644689538955,0.305136278131671,-0.08934388227433449,0.026206830547606655,0.09310814823204847,0,0,0.001
19,-0.14642707193394294,-0.2591537866279449,0.2976601628010549,-0.0457197977284543,0.07589426031304758,0.0886015725187505,0,0,0.001
20,-0.14642707193394294,0.2591537866279449,0.2976601628010549,-0.0457197977284543,-0.07589426031304758,0.0886015725187505,0,0,0.001
21,-0.0717928853219594,0.18627159643834001,0.19962796903875923,-0.029542889256835795,-0.026745950723672092,0.039851326022539824,0,0,0.001
0,0.650861422920221,0.3268875503302705,0.7283378765426524,0.3167651212848096,0.4255169922857304,0.5304760624066599,0,0,0.0005
1,0.650861422920221,-0.3268875503302705,0.7283378765426524,0.3167651212848096,-0.4255169922857304,0.5304760624066599,0,0,0.0005
2,0.3704173605160145,0.5758572653380812,0.6847047619334222,-0.19440256907100223,0.4266150565210045,0.46882061101430433,0,0,0.0005
3,0.3704173605160145,-0.5758572653380812,0.6847047619334222,-0.19440256907100223,-0.4266150565210045,0.46882061101430433,0,0,0.0005
4,-0.6565346401149739,0.3584532054974039,0.7480149959741865,0.3025490331395342,-0.47067389253859365,0.5595264342022623,1,1,0.0005
5,-0.6565346401149739,-0.3584532054974039,0.7480149959741865,0.3025490331395342,0.47067389253859365,0.5595264342022623,0,0,0.0005
