sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_rouche_ratio,dual_weighted_rouche_ratio,computed_primal_dual_rouche_ratio,deep_primal_residual_to_forcing,dual_residual_to_rhs,one_sided_resolvent_coefficient,primal_dual_resolvent_coefficient,one_sided_resolvent_budget,primal_dual_resolvent_budget,budget_gain_factor,primal_correction_reconstruction_defect,corrected_feshbach_smallest_singular,corrected_determinant_phase
0.01,0,0.0,-0.06085168086460302,-0.5508412474453575,36,52,36,9.896806458021236e-19,2.1814074552576283e-15,2.181315740801341e-15,1.443312440648565e-15,8.379199851988513e-16,8.86127834961902e-15,6.69289681463541e-30,112850534713537.56,1.4941213464000967e+29,1323982513855879.5,9.345621337325548e-20,0.05530052779530037,0.2275114149233386
0.01,0,0.0,-0.06085168086460302,-0.5508412474453575,36,52,44,9.896806458021236e-19,2.1814074552576283e-15,2.181315740801341e-15,1.443312440648565e-15,8.379199851988513e-16,8.86127834961902e-15,6.69289681463541e-30,112850534713537.56,1.4941213464000967e+29,1323982513855879.5,9.345621337325548e-20,0.05530052779530037,0.2275114149233386
0.01,0,0.0,-0.06085168086460302,-0.5508412474453575,36,52,52,9.896806458021236e-19,2.1814074552576275e-15,2.1813157408013408e-15,1.443312440648565e-15,8.404077017597281e-16,8.86127834961902e-15,6.695727053683709e-30,112850534713537.56,1.493489791298825e+29,1323422875301330.5,9.345621337325548e-20,0.05530052779530037,0.2275114149233386
0.01,1,0.19634954084936207,-0.06589552091878054,-0.49963027996744663,36,52,36,2.4753219880644206e-16,2.5259189356806552e-15,2.40969868010965e-15,1.741415129355444e-15,1.024706475577745e-15,1.8025439552098763e-14,1.7488098643439956e-29,55477149231768.19,5.71817451621656e+28,1030726090904132.1,5.31038318372892e-17,0.03028716783379431,0.30784379105900495
0.01,1,0.19634954084936207,-0.06589552091878054,-0.49963027996744663,36,52,44,2.4753219880644206e-16,2.5259189356806552e-15,2.40969868010965e-15,1.741415129355444e-15,1.024706475577745e-15,1.8025439552098763e-14,1.7488098643439956e-29,55477149231768.19,5.71817451621656e+28,1030726090904132.1,5.31038318372892e-17,0.03028716783379431,0.30784379105900495
0.01,1,0.19634954084936207,-0.06589552091878054,-0.49963027996744663,36,52,52,2.4753219880644206e-16,2.5259189356806552e-15,2.40969868010965e-15,1.741415129355444e-15,1.0246195738076477e-15,1.8025439552098763e-14,1.7491471454499977e-29,55477149231768.19,5.717071903305943e+28,1030527340080435.1,5.31038318372892e-17,0.03028716783379431,0.30784379105900495
0.01,2,0.39269908169872414,-0.08083320913664921,-0.4503873212502705,36,52,36,5.020443064492869e-16,1.1217313625021905e-14,1.1407853818152111e-14,2.701325411901574e-15,1.3813123712017759e-15,7.305708266712339e-14,1.077286103122823e-28,13687926803160.074,9.282585165641714e+27,678158591810900.2,6.015427108584821e-17,0.011482726206679207,0.8018499555540464
0.01,2,0.39269908169872414,-0.08083320913664921,-0.4503873212502705,36,52,44,5.020443064492869e-16,1.1217313625021908e-14,1.140785381815211e-14,2.701325411901574e-15,1.3831941476633525e-15,7.305708266712339e-14,1.076606548626448e-28,13687926803160.074,9.288444337216829e+27,678586645793024.4,6.015427108584821e-17,0.011482726206679207,0.8018499555540464
0.01,2,0.39269908169872414,-0.08083320913664921,-0.4503873212502705,36,52,52,5.020443064492869e-16,1.12173136250219e-14,1.1407853818152111e-14,2.701325411901574e-15,1.3910400422906284e-15,7.305708266712339e-14,1.1017151486785356e-28,13687926803160.074,9.076756375724248e+27,663121340890626.0,6.015427108584821e-17,0.011482726206679207,0.8018499555540464
0.01,3,0.5890486225480862,-0.10509069853714836,-0.4050047505815607,36,52,36,2.4367807533301357e-15,2.465610272092016e-14,2.3592832205374804e-14,4.130591507309042e-15,1.817253711207506e-15,7.565298715706711e-14,1.3912580580529512e-28,13218248711367.41,7.187739141647555e+27,543773936971412.4,1.893250798905037e-16,0.01787713095506237,-2.483820221787771
0.01,3,0.5890486225480862,-0.10509069853714836,-0.4050047505815607,36,52,44,2.4367807533301357e-15,2.465610272092017e-14,2.3592832205374804e-14,4.130591507309042e-15,1.815115758072198e-15,7.565298715706711e-14,1.3976543601809015e-28,13218248711367.41,7.154844777721326e+27,541285380079761.44,1.893250798905037e-16,0.01787713095506237,-2.483820221787771
0.01,3,0.5890486225480862,-0.10509069853714836,-0.4050047505815607,36,52,52,2.4367807533301357e-15,2.4656102720920162e-14,2.3592832205374798e-14,4.130591507309042e-15,1.8187726890418453e-15,7.565298715706711e-14,1.410890383040862e-28,13218248711367.41,7.087722845234069e+27,536207405383345.5,1.893250798905037e-16,0.01787713095506237,-2.483820221787771
0.01,4,0.7853981633974483,-0.13773578740637357,-0.36522659470127694,36,52,36,2.9404706875984736e-15,1.1634503551740376e-14,1.2470370330946356e-14,2.9874690833038005e-15,1.4722171337380967e-15,4.513361206875337e-14,7.106249679095281e-29,22156436282490.914,1.4072120248486691e+28,635125616280049.5,1.6774909578420384e-16,0.018420891442636655,-2.9112440949845886
0.01,4,0.7853981633974483,-0.13773578740637357,-0.36522659470127694,36,52,44,2.9404706875984736e-15,1.1634503551740371e-14,1.2470370330946353e-14,2.9874690833038005e-15,1.4907446081158893e-15,4.513361206875337e-14,7.418192296290967e-29,22156436282490.914,1.3480373115967605e+28,608417930758135.8,1.6774909578420384e-16,0.018420891442636655,-2.9112440949845886
0.01,4,0.7853981633974483,-0.13773578740637357,-0.36522659470127694,36,52,52,2.9404706875984736e-15,1.1634503551740372e-14,1.2470370330946356e-14,2.9874690833038005e-15,1.4989209699341381e-15,4.513361206875337e-14,7.202081456925551e-29,22156436282490.914,1.388487489319332e+28,626674557052562.6,1.6774909578420384e-16,0.018420891442636655,-2.9112440949845886
0.01,5,0.9817477042468103,-0.17751394328665732,-0.3325815058320517,36,52,36,3.614018994141222e-15,5.656494494732344e-15,5.071410546922383e-15,3.157658612855225e-15,1.501750097850044e-15,3.608986439729431e-14,5.93081286584835e-29,27708610622404.203,1.6861095141921223e+28,608514637261817.0,2.1108549774944811e-16,0.02503718287011263,2.9799678019381255
0.01,5,0.9817477042468103,-0.17751394328665732,-0.3325815058320517,36,52,44,3.614018994141222e-15,5.6564944947323455e-15,5.071410546922384e-15,3.157658612855225e-15,1.5014378895008964e-15,3.608986439729431e-14,5.82764057785759e-29,27708610622404.203,1.7159603215743e+28,619287753167542.5,2.1108549774944811e-16,0.02503718287011263,2.9799678019381255
0.01,5,0.9817477042468103,-0.17751394328665732,-0.3325815058320517,36,52,52,3.614018994141222e-15,5.656494494732346e-15,5.07141054692238e-15,3.157658612855225e-15,1.5207651236346837e-15,3.608986439729431e-14,6.041283040627847e-29,27708610622404.203,1.6552775184922783e+28,597387411822763.6,2.1108549774944811e-16,0.02503718287011263,2.9799678019381255
0.01,6,1.1780972450961724,-0.22289651395536714,-0.30832401643155255,36,52,36,1.698936087813934e-15,5.747237615720587e-15,5.846101767652162e-15,3.1069792893698216e-15,1.5275520855806324e-15,2.8139315864716417e-14,4.355261952941742e-29,35537466682119.57,2.296073142798101e+28,646099274136879.9,1.3353692255216822e-16,0.033968232480285056,2.662447880022413
