sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_residual_center_frobenius,primal_residual_radius,primal_residual_norm_upper,primal_residual_center_relative_to_forcing,primal_residual_upper_relative_to_forcing_center,primal_residual_inflation,dual_residual_center_frobenius,dual_residual_radius,dual_residual_norm_upper,dual_residual_center_relative_to_rhs,dual_residual_upper_relative_to_rhs_center,dual_residual_inflation,base_consistency_center_frobenius,base_consistency_radius,base_consistency_norm_upper,total_correction_center_frobenius,total_correction_radius,total_correction_norm_upper,correction_center_rouche_ratio,correction_rouche_ratio_upper,weighted_dual_residual_norm_upper,remainder_coefficient_upper,resolvent_budget_lower,rh26_unrounded_resolvent_budget,budget_retention_fraction,budget_to_rh23_lower_bound,base_inverse_norm_upper,base_inverse_neumann_defect_upper,corrected_feshbach_smallest_singular,corrected_determinant_phase,node_seconds
0.01,0,0.0,-0.06085168086460302,-0.5508412474453575,36,52,52,1.5443159296665425e-15,1.749482208282879e-09,1.749483752598809e-09,1.4428228225795177e-15,1.6345069279487771e-09,1132853.530155949,1.6555693957459791e-15,1.8802877764912628e-09,1.8802894320606588e-09,1.002713114145601e-15,1.1388171808207851e-09,1135735.7999562584,3.462425058010841e-16,6.169494295098117e-10,6.169497757523176e-10,5.087182229558594e-16,6.306709345025522e-09,6.306709853743746e-09,3.34406047638824e-15,1.1510941266118305e-07,3.4318831189862826e-08,6.004023757484628e-17,1.6655495135974188e+16,1.493489791298825e+29,1.1152064937444004e-13,3173266167383401.5,18.251896988584434,2.9252852987625967e-13,0.055300527795300154,0.22751141492333754,0.07981204986572266
0.01,1,0.19634954084936207,-0.06589552091878054,-0.49963027996744663,36,52,52,1.8773640898174484e-15,2.181917735517383e-09,2.1819196128814733e-09,1.7539829144058085e-15,2.0385229175088652e-09,1162225.0711600855,1.8432873355037454e-15,2.0883698427692084e-09,2.0883716860565444e-09,1.1164064696999861e-15,1.2648443986702893e-09,1132960.4700429523,4.2300583702977994e-16,7.668101110380642e-10,7.668105340439014e-10,4.2060909403867483e-16,8.719795523617221e-09,8.719795944226317e-09,3.920514511806184e-15,2.8885527593252167e-07,6.91801597013069e-08,1.5094554727455406e-16,6624903676859241.0,5.717071903305943e+28,1.1587931355259565e-13,1262201005033148.0,33.126381368814144,5.189340596944345e-13,0.03028716783379429,0.30784379105900683,0.07452154159545898
0.01,2,0.39269908169872414,-0.08083320913664921,-0.4503873212502705,36,52,52,2.9267411321655878e-15,3.8727531745038964e-09,3.8727561012450294e-09,2.7343944462079924e-15,3.6182369046513234e-09,1323231.5146298762,2.4946063122173933e-15,2.657029871507492e-09,2.6570323661138044e-09,1.510884696418109e-15,1.6092597538088419e-09,1065110.8966977778,6.320204961297261e-16,1.3510507830768924e-09,1.3510514150973887e-09,7.765668428658599e-16,1.955362738518388e-08,1.9553628161750727e-08,2.3169056072732638e-14,1.7038211162046335e-06,2.3152251881144324e-07,8.966302473026342e-16,1115285034368643.0,9.076756375724248e+27,1.2287264174584093e-13,212488205103369.06,87.13580654182529,1.340249903970988e-12,0.011482726206679119,0.8018499555540479,0.07138442993164062
0.01,3,0.5890486225480862,-0.10509069853714836,-0.4050047505815607,36,52,52,4.4285964712767115e-15,6.205817550384425e-09,6.205821978980897e-09,4.1375472065051175e-15,5.797972689482393e-09,1401306.71629963,2.9930188929218407e-15,3.223001682686583e-09,3.2230046757054767e-09,1.812753547226573e-15,1.952046868942202e-09,1076840.7387362395,5.743375760168612e-16,2.1587325786590984e-09,2.158733152996675e-09,9.115570430365233e-16,3.789893715475911e-08,3.789893806631616e-08,1.2066878055603624e-14,2.1232806150904366e-06,1.8056810334867832e-07,1.1205735044641222e-15,892398287783540.6,7.087722845234069e+27,1.2590761620759587e-13,170023002698847.8,56.02480603399635,8.798626886815087e-13,0.01787713095506253,-2.4838202217877776,0.0708160400390625
0.01,4,0.7853981633974483,-0.13773578740637357,-0.36522659470127694,36,52,52,3.229991115552232e-15,4.402575978043111e-09,4.402579208034228e-09,3.0177147102627603e-15,4.113239808992602e-09,1363031.3677446505,2.563290293472113e-15,2.9111801804131898e-09,2.9111827437034837e-09,1.5524838760796816e-15,1.7631886179380317e-09,1135721.0500571637,8.13805357334394e-16,1.5377904450400444e-09,1.5377912588454018e-09,1.2131761107570856e-15,2.4492632872232162e-08,2.4492634085408276e-08,1.896267157606142e-14,1.3318560710891234e-06,1.583036859706623e-07,6.969445164096177e-16,1434832536305078.8,1.388487489319332e+28,1.0333780803516394e-13,273369569991562.38,54.37782287588494,8.482559016543364e-13,0.018420891442636766,-2.911244094984588,0.07083582878112793
0.01,5,0.9817477042468103,-0.17751394328665732,-0.3325815058320517,36,52,52,3.370527278010811e-15,4.549453004428046e-09,4.549456374955325e-09,3.1490147756818643e-15,4.2504641453337665e-09,1349775.8658224787,2.5710672747593e-15,3.3210892912874616e-09,3.321091862354737e-09,1.5571940870470771e-15,2.0114544109247856e-09,1291717.2160209822,7.016608005982232e-16,1.5900189684929148e-09,1.5900196701537156e-09,8.491062507690261e-16,2.8929484118285834e-08,2.892948496739209e-08,9.657060176458037e-15,1.1590426782848443e-06,1.3305751295915166e-07,6.053393505677134e-16,1651964043010716.2,1.6552775184922783e+28,9.979982356767703e-14,314738262935056.9,40.06440847105059,6.367365998460367e-13,0.025037182870112983,2.9799678019381246,0.0708472728729248
0.01,6,1.1780972450961724,-0.22289651395536714,-0.30832401643155255,36,52,52,3.3455348641965732e-15,4.349350398250222e-09,4.349353743785087e-09,3.125664874052396e-15,4.063512345145465e-09,1300047.3527659918,2.6168160386705234e-15,3.4861466564955166e-09,3.486149273311556e-09,1.5849023097574065e-15,2.1114231775488796e-09,1332210.2974738332,6.708604302064922e-16,1.5208499316445925e-09,1.520850602505023e-09,1.016935066112945e-15,2.9060951343061273e-08,2.9060952359996344e-08,1.0399192296944602e-14,8.603774158552795e-07,1.0321074937583446e-07,4.4890005919665e-16,2227665421591118.8,2.2785555560004184e+28,9.776656161508619e-14,424423006153489.0,29.605961458028457,4.540474814877657e-13,0.033968232480285,2.6624478800224116,0.07091164588928223
0.01,7,1.3744467859455345,-0.27213947267254324,-0.2933863282136839,36,52,52,2.9840394560973934e-15,3.728099472841024e-09,3.728102456880481e-09,2.7879270996477677e-15,3.4830899600079836e-09,1249347.574564645,2.462454891723889e-15,3.2409819752591424e-09,3.2409844377140343e-09,1.4914118485567724e-15,1.9629365019600156e-09,1316159.9217945961,8.822855442544673e-16,1.304846838762882e-09,1.3048477210484265e-09,1.0570942339243099e-15,2.317298843888153e-08,2.3172989495975766e-08,4.595234225877669e-15,5.010172112271792e-07,7.007245212863118e-08,2.612372809403898e-16,3827935642964268.0,3.6412785630385483e+28,1.0512614118074941e-13,729312372137356.6,21.62074209154114,3.138288035458801e-13,0.04673367792340397,2.3166760242896336,0.07099556922912598
0.01,8,1.5707963267948966,-0.3233504401504541,-0.28834248815950636,36,52,52,2.5603113271166697e-15,3.124279259138045e-09,3.1242818194493725e-09,2.3920465655433793e-15,2.918952674563916e-09,1220274.1855490778,2.0020938703272162e-15,2.8804544009149396e-09,2.8804564030088102e-09,1.212589327083481e-15,1.744578884728768e-09,1438721.952901258,6.522099251193225e-16,1.0946280296160514e-09,1.0946286818259767e-09,8.293755796994502e-16,1.7266595784622463e-08,1.7266596613998045e-08,2.8998215543172933e-15,2.7103383109912275e-07,4.5214516849502554e-08,1.4126289296808817e-16,7078997944577506.0,6.472332761546265e+28,1.0937320754945711e-13,1348716714400489.5,15.697004284924079,2.2227728387375918e-13,0.06486690886955114,2.0141486051936406,0.07073044776916504
0.01,9,1.7671458676442586,-0.37456140762836493,-0.2933863282136839,36,52,52,2.2708488117585773e-15,2.6344760353294735e-09,2.6344783061782857e-09,2.1216076511885233e-15,2.461339258842854e-09,1160129.3280894859,1.8118968904746413e-15,2.532325853124115e-09,2.532327665021006e-09,1.0973945146768826e-15,1.5337310326917103e-09,1397611.3532363544,5.065659880319962e-16,9.240187530053791e-10,9.240192595713672e-10,7.238819705570646e-16,1.2804953845317306e-08,1.2804954569199278e-08,2.6806926708756625e-15,1.4805379686490093e-07,2.9279336609461512e-08,7.713577711691804e-17,1.2964150869063774e+16,1.0660503654121223e+29,1.216091780434031e-13,2469977686391247.5,11.562227860575266,1.6629339863870594e-13,0.08902449711205514,1.8411457436708216,0.07171034812927246
