parent_arc,start_numerator,end_numerator,turn_denominator,theta_midpoint,center_id,stored_complement_inverse_upper,projected_feshbach_inverse_upper,stored_feshbach_computed_ratio_upper,stored_feshbach_remainder_coefficient_upper,stored_feshbach_full_ratio_upper,stored_feshbach_inverse_upper,complement_neumann_product_upper,corrected_complement_inverse_upper,corrected_feshbach_difference_upper,feshbach_rouche_product_upper,complement_homotopy_denominator_lower,feshbach_homotopy_denominator_lower,complement_homotopy_certified,feshbach_homotopy_certified
0,0,1,256,0.01227184630308513,arc_00001,761.0502591234585,42.0144846495988,2.6034398603875068e-08,8.830472846251363e-19,2.6034399275918436e-08,42.01448574342071,3.5792761166052043e-12,761.0502591261827,4.819557393177994e-09,2.0249122538527466e-07,0.9999999999964206,0.9999997975087745,True,True
1,1,2,256,0.03681553890925539,arc_00001,128.9241145810682,52.98574767288291,3.4429711169524746e-08,1.1858117669215835e-18,3.4429711322404485e-08,52.98574949716698,6.063397241411785e-13,128.9241145811464,1.3909739037438184e-10,7.37017948208664e-09,0.9999999999993936,0.9999999926298204,True,True
2,2,3,256,0.06135923151542565,arc_00001,761.0502591234473,72.44285080531552,4.946161792198769e-08,1.7313454136647467e-18,4.946161923962857e-08,72.44285438845641,3.5792761166051514e-12,761.0502591261715,4.819557393177852e-09,3.491424944507916e-07,0.9999999999964206,0.9999996508575054,True,True
3,3,4,256,0.0859029241215959,arc_00004,1897.820318507335,116.88605072568113,8.404799859515181e-08,2.9930193924559574e-18,8.404800427536484e-08,116.88606054972126,8.925590469498081e-12,1897.8203185242744,2.994941549550228e-08,3.500669193036039e-06,0.9999999999910743,0.9999964993308068,True,True
4,4,5,256,0.11044661672776616,arc_00004,143.48339824759074,325.2531858273654,2.469580216310907e-07,8.956966042530566e-18,2.469580229162667e-07,325.25326615126903,6.748131208423163e-13,143.4833982476876,1.72168076242438e-10,5.599822912483365e-08,0.9999999999993251,0.9999999440017707,True,True
5,10,11,512,0.12885438618239387,arc_00006,200.79826215323664,53.56583831315302,4.159477203411652e-08,1.5249177693379088e-18,4.159477234031736e-08,53.56584054121197,9.443691994910946e-13,200.7982621534263,3.3659450259103e-10,1.8029967452839672e-08,0.9999999999990555,0.9999999819700325,True,True
6,11,12,512,0.14112623248547898,arc_00006,121.92970341948661,60.777425448215226,4.8579450658087014e-08,1.798921720525347e-18,4.8579450877429015e-08,60.77742840074933,5.734444869078321e-13,121.92970341955655,1.244629275246754e-10,7.564536666178611e-09,0.9999999999994265,0.9999999924354632,True,True
7,12,13,512,0.15339807878856412,arc_00006,200.79826215323575,70.43701014050575,5.800389290329778e-08,2.170347279240611e-18,5.800389333909975e-08,70.43701422612682,9.443691994910903e-13,200.7982621534254,3.3659450259102706e-10,2.3708711767440247e-08,0.9999999999990555,0.9999999762912881,True,True
8,13,14,512,0.16566992509164924,arc_00006,568.5307383170272,84.0934086908681,7.14145192873119e-08,2.7011136793601707e-18,7.141452082297807e-08,84.09341469635903,2.67384245497504e-12,568.5307383185474,2.6906625592965752e-09,2.262670024068936e-07,0.999999999997326,0.9999997737329975,True,True
9,14,15,512,0.17794177139473438,arc_00011,1144.6497864537278,104.96021659936304,9.201973240772179e-08,3.519701524307443e-18,9.201973643654741e-08,104.9602262577754,5.383373296856669e-12,1144.64978645989,1.0898246291811678e-08,1.1438823966015154e-06,0.9999999999946165,0.9999988561176033,True,True
10,15,16,512,0.1902136176978195,arc_00011,244.2102278525781,140.97583335146362,1.2774467037418856e-07,4.9434939902882615e-18,1.2774467158144037e-07,140.97585136037748,1.1485389112017251e-12,244.21022785285862,4.974797189131336e-10,7.013262690830029e-08,0.9999999999988514,0.999999929867373,True,True
11,16,17,512,0.20248546400090464,arc_00011,136.68378447142996,218.53654284148666,2.0494058691204774e-07,8.027829243527396e-18,2.0494058800932186e-07,218.53658762850347,6.428340302377313e-13,136.68378447151784,1.5628455914417932e-10,3.415389425439397e-08,0.9999999999993571,0.9999999658461056,True,True
12,17,18,512,0.21475731030398976,arc_00011,244.21022785257708,510.63379644133016,4.963008789133805e-07,1.9688957796099667e-17,4.963008837216255e-07,510.63404986946045,1.1485389112017203e-12,244.2102278528576,4.974797189131295e-10,2.540300835965321e-07,0.9999999999988514,0.9999997459699163,True,True
13,36,37,1024,0.2239611950313036,arc_00016,385.45701070369574,73.30728963644292,7.227319289676471e-08,2.888630120657642e-18,7.227319401020745e-08,73.30729493459528,1.8128330630605106e-12,385.4570107043946,1.2377242997109224e-09,9.073422028662397e-08,0.999999999998187,0.9999999092657796,True,True
14,37,38,1024,0.23009711818284617,arc_00016,237.81511243424032,79.27308814661488,7.96364683787636e-08,3.2044241251859613e-18,7.963646914082409e-08,79.27309445964424,1.1184622065355267e-12,237.81511243450635,4.718118117875819e-10,3.7401982323012865e-08,0.9999999999988815,0.9999999625980176,True,True
15,38,39,1024,0.23623304133438874,arc_00016,171.95125121570067,86.41191102067936,8.849286431930002e-08,3.585392065703469e-18,8.849286493581269e-08,86.41191866751761,8.086995560655845e-13,171.95125121583976,2.470119708923483e-10,2.134477833865282e-08,0.9999999999991912,0.9999999786552215,True,True
16,39,40,1024,0.24236896448593132,arc_00016,134.6570760882013,95.12055926269626,9.934846519851464e-08,4.053681114887771e-18,9.93484657443715e-08,95.12056871277883,6.333022695892705e-13,134.6570760882866,1.5169895984029497e-10,1.4429691333145853e-08,0.9999999999993666,0.9999999855703086,True,True
17,40,41,1024,0.24850488763747386,arc_00016,171.95125121569916,105.99847260459788,1.1296776102388653e-07,4.6427488084820665e-18,1.12967761822213e-07,105.99848457900946,8.086995560655774e-13,171.95125121583825,2.4701197089234393e-10,2.6182894587462843e-08,0.9999999999991912,0.9999999738171053,True,True
18,41,42,1024,0.25464081078901646,arc_00016,237.8151124342396,119.99603901163783,1.3056276136477957e-07,5.405640439298544e-18,1.3056276265032258e-07,119.99605467865425,1.1184622065355232e-12,237.81511243450564,4.718118117875791e-10,5.661555596529726e-08,0.9999999999988815,0.999999943384444,True,True
19,42,43,1024,0.260776733940559,turn_00005731_of_00131072,321.22806045103226,138.71548627685326,1.5417667033907117e-07,6.431782208173552e-18,1.541766724051401e-07,138.71550766354866,1.5107595207707253e-12,321.2280604515176,8.599991599712321e-10,1.1929522006563485e-07,0.9999999999984891,0.9999998807047799,True,True
20,43,44,1024,0.26691265709210155,turn_00005731_of_00131072,211.6984202664998,165.08539467187077,1.8754397443717055e-07,7.884626524229062e-18,1.8754397610633355e-07,165.0854256326479,9.956334558714268e-13,211.6984202667106,3.7404517072798776e-10,6.174940621546632e-08,0.9999999999990042,0.9999999382505936,True,True
21,44,45,1024,0.27304858024364415,turn_00005731_of_00131072,157.86894949193982,205.09132008126414,2.382972012444684e-07,1.0098239831371957e-17,2.3829720283866693e-07,205.09136895396372,7.424694410075607e-13,157.86894949205706,2.0830491200905092e-10,4.2721539563771206e-08,0.9999999999992574,0.9999999572784604,True,True
22,45,46,1024,0.2791845033951867,turn_00005731_of_00131072,178.42700045715088,273.1729035609609,3.248488999197468e-07,1.3878520499711436e-17,3.248489023960496e-07,273.17299230090765,8.391554876143668e-13,178.42700045730064,2.659179100454614e-10,7.264159119352225e-08,0.9999999999991608,0.9999999273584087,True,True
23,46,47,1024,0.28532042654672923,turn_00005731_of_00131072,250.383540438471,415.29640966590574,5.058119706488836e-07,2.1790899045362358e-17,5.058119761049661e-07,415.2966197279097,1.1775724606081386e-12,250.38354043876586,5.229022559267314e-10,2.1715953933446985e-07,0.9999999999988223,0.9999997828404605,True,True
24,47,48,1024,0.29145634969827183,arc_00027,300.00535806514523,898.4011519098915,1.1215671960615958e-06,4.8733521687016393e-17,1.1215672106819137e-06,898.4021595282958,1.4109475689725418e-12,300.0053580655686,7.502631053585796e-10,6.740379940685531e-07,0.9999999999985889,0.9999993259620058,True,True
25,96,97,2048,0.29605829206192874,arc_00027,202.26804275012825,100.33970817702463,1.2647568252137656e-07,5.523678418135573e-18,1.264756836386402e-07,100.33972086755944,9.5128168723292e-13,202.2680427503207,3.415291606637889e-10,3.426894064913644e-08,0.9999999999990486,0.9999999657310592,True,True
26,97,98,2048,0.2991262536377,arc_00027,173.93516743348096,105.51070391520282,1.3470863052840043e-07,5.9093853093810164e-18,1.3470863155625038e-07,105.51071812840729,8.180300619691306e-13,173.93516743362326,2.5272994435544766e-10,2.666571792149569e-08,0.9999999999991819,0.9999999733342819,True,True
27,98,99,2048,0.3021942152134713,arc_00027,152.5645084400744,111.31612866529348,1.439850984034047e-07,6.344752389481771e-18,1.4398509937138876e-07,111.31614469315964,7.175222592133527e-13,152.56450844018391,1.9457967070271551e-10,2.1659858778290835e-08,0.9999999999992824,0.9999999783401411,True,True
28,99,100,2048,0.3052621767892426,arc_00027,173.9351674334814,117.88426547000664,1.5451659906381756e-07,6.839865685622984e-18,1.5451660025351078e-07,117.88428368508539,8.180300619691327e-13,173.93516743362372,2.52729944355449e-10,2.9792888456113585e-08,0.9999999999991819,0.9999999702071114,True,True
29,100,101,2048,0.3083301383650139,arc_00027,202.2680427501276,125.38058504764541,1.6657596146018396e-07,7.40773541673012e-18,1.6657596295853212e-07,125.3806059330406,9.512816872329167e-13,202.26804275032003,3.415291606637867e-10,4.282113310782834e-08,0.9999999999990486,0.9999999571788668,True,True
30,101,102,2048,0.31139809994078516,arc_00027,241.62733396623116,134.02227145472412,1.805212806507372e-07,8.065438163718527e-18,1.8052128259956756e-07,134.02229564860085,1.1363913686599552e-12,241.62733396650577,4.870309864080095e-10,6.527301085040394e-08,0.9999999999988635,0.999999934726989,True,True
31,102,103,2048,0.3144660615165564,arc_00027,300.0047824307656,144.1001325015557,1.9683204383052917e-07,8.83583969498257e-18,1.9683204648132336e-07,144.1001608650853,1.410944861721132e-12,300.00478243118897,7.502602304700452e-10,1.0811261990140945e-07,0.9999999999985889,0.99999989188738,True,True
32,103,104,2048,0.3175340230923277,arc_00027,395.57535437684254,156.01268042008783,2.1616532306177367e-07,9.750274765495566e-18,2.161653269187421e-07,156.0127141446272,1.8604203878327408e-12,395.57535437757855,1.3034818923137276e-09,2.033597478582393e-07,0.9999999999981395,0.9999997966402521,True,True
33,104,105,2048,0.320601984668099,arc_00027,580.4989541696359,170.32107398322398,2.394463651286107e-07,1.0852867308032161e-17,2.394463714286889e-07,170.32111476599692,2.7301298665435696e-12,580.4989541712208,2.8050479828371956e-09,4.777588994089421e-07,0.9999999999972697,0.9999995222411004,True,True
34,105,106,2048,0.3236699462438703,arc_00027,1090.0845988506685,187.8415124978528,2.6802093288960713e-07,1.2207795515749223e-17,2.6802094619713705e-07,187.84156284332622,5.126749150889418e-12,1090.0845988562573,9.884360128445274e-09,1.8566936542334205e-06,0.9999999999948731,0.9999981433063456,True,True
35,106,107,2048,0.32673790781964157,arc_00040,665.0506836344648,209.80868337267435,3.0392480138417066e-07,1.3912143960951082e-17,3.0392481063645157e-07,209.80874713875812,3.1277829548424764e-12,665.050683636545,3.6809744665430722e-09,7.723006410751605e-07,0.9999999999968721,0.9999992276993588,True,True
36,107,108,2048,0.32980586939541284,arc_00040,433.09511237965273,238.1833842885789,3.5039097254470215e-07,1.612009237259558e-17,3.503909795262354e-07,238.1834677459175,2.0368786073922984e-12,433.09511238053494,1.5621727519096548e-09,3.720837232680244e-07,0.999999999997963,0.9999996279162766,True,True
37,108,109,2048,0.3328738309711841,arc_00040,321.10088189380645,276.2782614458844,4.1288140756046947e-07,1.909211835052894e-17,4.1288141369096556e-07,276.27837551609076,1.5101613905329838e-12,321.10088189429143,8.593192601207929e-10,2.374113292358616e-07,0.9999999999984898,0.9999997625886706,True,True
38,109,110,2048,0.33594179254695544,arc_00040,255.12702209947767,330.16538230586855,5.014078673184768e-07,2.330567688066086e-17,5.014078732643849e-07,330.16554785347375,1.199881408559028e-12,255.12702209978383,5.42866951444309e-10,1.7923596443515537e-07,0.9999999999988,0.9999998207640355,True,True
39,110,111,2048,0.3390097541227267,arc_00040,211.64244848799467,412.30507674949206,6.365152352534239e-07,2.9740541465644957e-17,6.36515241547785e-07,412.30533918812466,9.953702164235642e-13,211.64244848820536,3.738478186049647e-10,1.5413945165466049e-07,0.9999999999990046,0.9999998458605482,True,True
40,111,112,2048,0.342077715698498,arc_00040,180.82247945399436,552.9450977708022,8.680767356232964e-07,4.077513695230395e-17,8.680767429963579e-07,552.9455777699985,8.504216039561527e-13,180.82247945414815,2.730881318560364e-10,1.5100287485126558e-07,0.9999999999991495,0.999999848997125,True,True
