sigma,step,delta,root,nonperron_spectral_radius
0.05,1,1.000000000000001,1.000000000000001,0.9588725874823555
0.05,2,1.0000000000000002,1.0,0.9588725874823555
0.05,3,0.9999999198883066,0.9999999732961015,0.9588725874823555
0.05,4,0.9994022640868477,0.999850532514257,0.9588725874823555
0.05,5,0.9866837398050752,0.9973224477295993,0.9588725874823555
0.05,6,0.9180222692714405,0.9858455249788626,0.9588725874823555
0.05,7,0.8652620588042153,0.9795375619432436,0.9588725874823555
0.05,8,0.828693063092997,0.9767855199621905,0.9588725874823555
0.05,9,0.799591945291093,0.9754558130663975,0.9588725874823555
0.05,10,0.7642228344406031,0.9734687197544841,0.9588725874823555
0.05,11,0.7311736992211656,0.9719372630399697,0.9588725874823555
0.05,12,0.7013117566660807,0.9708659278168107,0.9588725874823555
0.05,13,0.6730559768549066,0.9700032024695145,0.9588725874823555
0.05,14,0.6452703744818883,0.9691926753526771,0.9588725874823555
0.05,15,0.6185244646143907,0.9684795589802628,0.9588725874823555
0.05,16,0.5931097362831134,0.9678787185861246,0.9588725874823555
0.05,17,0.5687899558623393,0.967353944716867,0.9588725874823555
0.05,18,0.5453928536138033,0.966880378316861,0.9588725874823555
0.05,19,0.522936602183258,0.9664547578988963,0.9588725874823555
0.05,20,0.5014296668737506,0.966074238429181,0.9588725874823555
0.05,21,0.48081606757497614,0.9657309311440142,0.9588725874823555
0.05,22,0.46104179258506756,0.9654181691261676,0.9588725874823555
0.05,23,0.4420772709330081,0.9651323607030203,0.9588725874823555
0.05,24,0.4238954573128016,0.964870692485891,0.9588725874823555
0.05,25,0.40646278040247197,0.9646301487883264,0.9588725874823555
0.05,26,0.3897461849600991,0.9644080820780038,0.9588725874823555
0.05,27,0.37371657876422254,0.9642024612002205,0.9588725874823555
0.05,28,0.3583465059065275,0.964011592008219,0.9588725874823555
0.05,29,0.3436087600385597,0.9638339387931433,0.9588725874823555
0.05,30,0.32947705389581744,0.9636681507912356,0.9588725874823555
0.12,1,0.9999999997895855,0.9999999997895855,0.9073167036807286
0.12,2,0.9986708943497231,0.9993352262127675,0.9073167036807286
0.12,3,0.9691000648156052,0.9895920724623354,0.9073167036807286
0.12,4,0.8519888837311105,0.9607457723842899,0.9073167036807286
0.12,5,0.7651681520465212,0.9478756724402831,0.9073167036807286
0.12,6,0.6927100934706572,0.9406439198290687,0.9073167036807286
0.12,7,0.6292120614081685,0.9359587739835713,0.9073167036807286
0.12,8,0.5708890377419445,0.9323285059192522,0.9073167036807286
0.12,9,0.517947726861587,0.929509841513038,0.9073167036807286
0.12,10,0.4699407688599023,0.9272659497831884,0.9073167036807286
0.12,11,0.4263874497207496,0.9254348619826532,0.9073167036807286
0.12,12,0.3868683954081966,0.9239112833773074,0.9073167036807286
0.12,13,0.35101205082087783,0.922624050286676,0.9073167036807286
0.12,14,0.3184790954905009,0.9215221548268132,0.9073167036807286
0.12,15,0.28896141083016663,0.9205682452277008,0.9073167036807286
0.12,16,0.26217951439864384,0.9197343827531058,0.9073167036807286
0.12,17,0.23787985240459386,0.918999249017515,0.9073167036807286
0.12,18,0.21583236356665064,0.9183462901858618,0.9073167036807286
0.12,19,0.19582830868417506,0.9177624571281651,0.9073167036807286
0.12,20,0.17767829552084877,0.9172373247254749,0.9073167036807286
0.12,21,0.16121048540632138,0.9167624638494835,0.9073167036807286
0.12,22,0.14626896621772065,0.9163309854792363,0.9073167036807286
0.12,23,0.13271227627953155,0.9159372043263677,0.9073167036807286
0.12,24,0.1204120650519022,0.9155763869283712,0.9073167036807286
0.12,25,0.10925187794627698,0.9152445604595386,0.9073167036807286
0.12,26,0.0991260537691456,0.9149383658458722,0.9073167036807286
0.12,27,0.08993872435470006,0.9146549436518279,0.9073167036807286
0.12,28,0.08160290691475602,0.9143918445142569,0.9073167036807286
0.12,29,0.07403968051266158,0.9141469581763237,0.9073167036807286
0.12,30,0.06717743886432231,0.9139184567657931,0.9073167036807286
