u,rank_by_modulus,real,imag,modulus,condition_number
1.35,1,-0.9999542459695998,0.0,0.9999542459695998,1.3716710763871665
1.35,2,1.679004542565199e-06,0.6816057831721629,0.6816057831742308,1.3207055832036345
1.35,3,1.679004542565199e-06,-0.6816057831721629,0.6816057831742308,1.3207055832036345
1.35,4,0.6564503804865703,0.0,0.6564503804865703,2.514686205256275
1.35,5,-0.4312785615526906,0.0,0.4312785615526906,4.851157970506983
1.35,6,0.2729583985859901,0.0,0.2729583985859901,10.22030906909193
1.35,7,0.23807239417523177,0.0,0.23807239417523177,3.8084102647757185
1.35,8,-0.2336533516556548,0.0,0.2336533516556548,3.890050024347602
1.35,9,-0.16698694403835782,0.0,0.16698694403835782,24.933844492097336
1.35,10,0.09092464214294443,0.0,0.09092464214294443,49.779314688397534
1.35,11,-0.04651414528774024,0.0,0.04651414528774024,109.27857273135923
1.35,12,1.9292241940590572e-05,0.04276846891009156,0.04276847326131794,26.849180897158575
1.355,1,-0.9999422550385554,0.0,0.9999422550385554,1.3603174560724356
1.355,2,2.7656548547000392e-06,0.6877127624410412,0.6877127624466023,1.3150405386607036
1.355,3,2.7656548547000392e-06,-0.6877127624410412,0.6877127624466023,1.3150405386607036
1.355,4,0.6545394429480117,0.0,0.6545394429480117,2.4713483333736126
1.355,5,-0.42786581313394917,0.0,0.42786581313394917,4.711630014157381
1.355,6,0.2652150100717067,0.0,0.2652150100717067,11.053794076481008
1.355,7,0.24447408542230217,0.0,0.24447408542230217,5.766367667421214
1.355,8,-0.23691593704331962,0.0,0.23691593704331962,3.989561471337485
1.355,9,-0.16192006088545513,0.0,0.16192006088545513,24.884418910705268
1.355,10,0.08650798791565337,0.0,0.08650798791565337,50.32542605299484
1.355,11,4.4433074642142266e-05,0.043787289899513276,0.04378731244369925,29.231183327583945
1.355,12,4.4433074642142266e-05,-0.043787289899513276,0.04378731244369925,29.231183327583945
1.36,1,-0.9999272299044983,0.0,0.9999272299044983,1.3490382814891193
1.36,2,4.202814883669248e-06,0.6934089065813688,0.6934089065941056,1.3109539842090028
1.36,3,4.202814883669248e-06,-0.6934089065813688,0.6934089065941056,1.3109539842090028
1.36,4,0.6525988474280828,0.0,0.6525988474280828,2.428421884224063
1.36,5,-0.4242852743092362,0.0,0.4242852743092362,4.577570462887552
1.36,6,0.2538622141042607,0.007836981568716926,0.25398315304371255,9.534780943830484
1.36,7,0.2538622141042607,-0.007836981568716926,0.25398315304371255,9.534780943830484
1.36,8,-0.23984172212806684,0.0,0.23984172212806684,4.073348547926072
1.36,9,-0.15664833640166922,0.0,0.15664833640166922,24.848853697259266
1.36,10,0.0821098641500499,0.0,0.0821098641500499,50.99365422627263
1.36,11,7.272879382701908e-05,0.04464329889557265,0.04464335813709459,32.16196596677788
1.36,12,7.272879382701908e-05,-0.04464329889557265,0.04464335813709459,32.16196596677788
1.365,1,-0.9999084507238118,0.0,0.9999084507238118,1.3378409518237788
1.365,2,6.062800261211719e-06,0.698684011576146,0.6986840116024509,1.3084449476276614
1.365,3,6.062800261211719e-06,-0.698684011576146,0.6986840116024509,1.3084449476276614
1.365,4,0.6506205336700045,0.0,0.6506205336700045,2.385998581756917
1.365,5,-0.4205077589114188,0.0,0.4205077589114188,4.449786306715876
1.365,6,0.25254533540472324,0.014315996467925949,0.25295077424185486,7.095875241874517
1.365,7,0.25254533540472324,-0.014315996467925949,0.25295077424185486,7.095875241874517
1.365,8,-0.24241081539095827,0.0,0.24241081539095827,4.152109123625997
1.365,9,-0.151172213369196,0.0,0.151172213369196,24.852687803176487
1.365,10,0.07775792949732761,0.0,0.07775792949732761,51.80318114462221
1.365,11,0.00010124736258632734,0.045320174105696075,0.04532028720119761,35.792766427825555
1.365,12,0.00010124736258632734,-0.045320174105696075,0.04532028720119761,35.792766427825555
1.37,1,-0.999885043814227,0.0,0.999885043814227,1.3267333346757018
1.37,2,8.423503674998e-06,0.7035281932084915,0.7035281932589197,1.3075245167014105
1.37,3,8.423503674998e-06,-0.7035281932084915,0.7035281932589197,1.3075245167014105
1.37,4,0.6485951925636425,0.0,0.6485951925636425,2.3441797773546993
1.37,5,-0.4165007500517855,0.0,0.4165007500517855,4.329152539061924
1.37,6,0.2508707024284738,0.018032741362714683,0.25151796973180746,6.899565901757168
1.37,7,0.2508707024284738,-0.018032741362714683,0.25151796973180746,6.899565901757168
1.37,8,-0.24460849076924057,0.0,0.24460849076924057,4.23299935394635
1.37,9,-0.14549001191863836,0.0,0.14549001191863836,24.916793111383452
1.37,10,0.0734865765499847,0.0,0.0734865765499847,52.77827724366675
1.37,11,0.00012653528765276933,0.04580202213366878,0.045802196920148995,40.32739739921773
1.37,12,0.00012653528765276933,-0.04580202213366878,0.045802196920148995,40.32739739921773
1.375,1,-0.9998559540735311,0.0,0.9998559540735311,1.3157238653247139
1.375,2,1.1365088300047121e-05,0.7079319246827998,0.7079319247740269,1.3082159753578075
1.375,3,1.1365088300047121e-05,-0.7079319246827998,0.7079319247740269,1.3082159753578075
1.375,4,0.6465121350845532,0.0,0.6465121350845532,2.3030764356010343
1.375,5,-0.41222819784129705,0.0,0.41222819784129705,4.216622051921051
1.375,6,0.2488148314101383,0.020590951264803866,0.24966539128130089,7.047948927109274
1.375,7,0.2488148314101383,-0.020590951264803866,0.24966539128130089,7.047948927109274
1.375,8,-0.24642413741810826,0.0,0.24642413741810826,4.321074933528602
