start_pair,half_increment,normalized_increment,tail_sum,normalized_tail
10,-0.0004373462081745001,-0.1720762264961385,-0.01113703911932135,-0.12883486813438508
18,-0.00019751236733553737,-0.19952663201018098,-0.00867658142761759,-0.127185624978479
32,-8.572667142630816e-05,-0.21872701805651745,-0.006812189497865003,-0.1261956491798442
56,-3.7213342066822266e-05,-0.23104757023433434,-0.005444241031330523,-0.12564556014126957
100,-1.56319041263505e-05,-0.23898389574569945,-0.004383658196822484,-0.1253356217294256
178,-6.656524162138022e-06,-0.243671610241861,-0.003592714664466081,-0.12517406000677048
316,-2.8860770646919887e-06,-0.24638690519824535,-0.002993247033128651,-0.12509049323231616
562,-1.2679862637374542e-06,-0.24795138636871597,-0.002527724195513963,-0.12504705553150045
1000,-5.655545570505682e-07,-0.24884254063660785,-0.002161201136153353,-0.12502454065076327
1778,-2.5629459859998274e-07,-0.2493467210119585,-0.0018686719115476298,-0.12501286027031103
3162,-1.1769686782559657e-07,-0.24963176429057687,-0.0016313662148110283,-0.12500676431095503
5623,-5.4721009099412826e-08,-0.24979256071673742,-0.00143642914747507,-0.12500357159389955
10000,-2.5722123197895186e-08,-0.24988319782213822,-0.0012743726045837528,-0.12500189231290518
17783,-1.2212601527283873e-08,-0.24993424619783447,-0.0011382521339073403,-0.12500100588215177
31623,-5.850632956404256e-09,-0.24996299005374656,-0.0010228187551632488,-0.12500053626414984
56234,-2.8255841290868167e-09,-0.24997917128487096,-0.0009240878760456816,-0.12500028666063076
100000,-1.374632029949377e-09,-0.24998827919603997,-0.0008389867227382654,-0.1250001536043915
177828,-6.73221100828264e-10,-0.2499934050791735,-0.0007651205044664491,-0.12500008248969408
316228,-3.3171814448930415e-10,-0.24999628936029367,-0.0007005957385696534,-0.12500004438878998
562341,-1.6436179370651893e-10,-0.24999791222215242,-0.0006439017255622344,-0.12500002393055226
1000000,-8.185699752576159e-11,-0.2499988248081168,-0.0005938206377494715,-0.12500001292325424
1778279,-4.096027922222134e-11,-0.24999933953955467,-0.0005493629105762863,-0.12500000698996333
3162278,-2.0585813869516967e-11,-0.24999962994869057,-0.0005097170659334297,-0.12500000378625772
5623413,-1.0388069527841881e-11,-0.24999979280574733,-0.0004742130193008967,-0.12500000205367934
10000000,-5.261872101230969e-12,-0.24999987445555116,-0.00044229328742187234,-0.12500000111532442
